| People and Society | Angola |
| Sanitation facility access: | total: 70.1% of population |
| Sanitation facility access: | unimproved: urban: 7.8% of population |
| Sanitation facility access: | rural: 70.8% of population (2 est.) |
| Sanitation facility access: | total: 29.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.8% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 340,000 (2019 est.) |
| HIV/AIDS - deaths: | 13,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Obesity - adult prevalence rate: | 8.2% (2016) |
| Children under the age of 5 years underweight: | 19% (2016) |
| Education expenditures: | 3.4% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 71.1% |
| Literacy: | male: 82% |
| Literacy: | female: 60.7% (2015) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2011) |
| Unemployment, youth ages 15-24: | total: 39.4% |
| Unemployment, youth ages 15-24: | male: 39% |
| Unemployment, youth ages 15-24: | female: 39.8% (2014 est.) |
