| People and Society | CONGO, DEMOCRATIC REPUBLIC OF THE |
| Median age: | total: 18.4 years |
| Median age: | male: 18.1 years |
| Median age: | female: 18.6 years (2016 est.) |
| Population growth rate: | 2.42% (2016 est.) |
| Birth rate: | 34.2 births/1,000 population (2016 est.) |
| Death rate: | 9.9 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 42.5% of total population (2015) |
| Urbanization: | rate of urbanization: 3.96% annual rate of change (2010-15 est.) |
| Major urban areas - population: | KINSHASA (capital) 11.587 million; Lubumbashi 2.015 million; Mbuji-Mayi 20.007 million; Kananga 1.169 million; Kisangani 1.04 million; Bukavu 832,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013/14 est.) |
| Maternal mortality rate: | 693 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 69.8 deaths/1,000 live births |
| Infant mortality rate: | male: 73.4 deaths/1,000 live births |
| Infant mortality rate: | female: 66.2 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 57.3 years |
| Life expectancy at birth: | male: 55.8 years |
| Life expectancy at birth: | female: 58.9 years (2016 est.) |
| Total fertility rate: | 4.53 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 17.7% (2010) |
| Health expenditures: | 4.3% of GDP (2014) |
| Hospital bed density: | 0.8 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 81.1% of population |
| Drinking water source: | rural: 31.2% of population |
| Drinking water source: | total: 52.4% of population |
| unimproved: | urban: 18.9% of population |
| unimproved: | rural: 68.8% of population |
| unimproved: | total: 47.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 28.5% of population |
| Sanitation facility access: | rural: 28.7% of population |
| Sanitation facility access: | total: 28.7% of population |
| unimproved: | urban: 71.5% of population |
| unimproved: | rural: 71.3% of population |
| unimproved: | total: 71.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.85% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 374,100 (2015 est.) |
| HIV/AIDS - deaths: | 21,700 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and trypanosomiasis-gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 3.7% (2014) |
| Children under the age of 5 years underweight: | 23.4% (2014) |
| Education expenditures: | 2.2% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 63.8% |
| Literacy: | male: 78.1% |
| Literacy: | female: 50% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2013) |
| Child labor - children ages 5-14: | total number: 8,284,395 |
| Child labor - children ages 5-14: | percentage: 42% (2010 est.) |
