| People and Society | SIERRA LEONE |
| Sanitation facility access: | total: 13.3% of population |
| unimproved: | urban: 77.2% of population |
| unimproved: | rural: 93.1% of population |
| unimproved: | total: 86.7% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.7% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 67,000 (2016 est.) |
| HIV/AIDS - deaths: | 2,800 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | aerosolized dust or soil contact disease: Lassa fever (2016) |
| Obesity - adult prevalence rate: | 8.7% (2016) |
| Children under the age of 5 years underweight: | 18.1% (2013) |
| Education expenditures: | 2.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 48.1% |
| Literacy: | male: 58.7% |
| Literacy: | female: 37.7% (2015 est.) |
