| People and Society | Sierra Leone |
| Major infectious diseases: | aerosolized dust or soil contact diseases: Lassa fever |
| Obesity - adult prevalence rate: | 8.7% (2016) |
| Children under the age of 5 years underweight: | 13.6% (2019) |
| Education expenditures: | 7.7% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write English, Mende, Temne, or Arabic |
| Literacy: | total population: 43.2% |
| Literacy: | male: 51.6% |
| Literacy: | female: 39.8% (2018) |
| Unemployment, youth ages 15-24: | total: 9.4% |
| Unemployment, youth ages 15-24: | male: 14.8% |
| Unemployment, youth ages 15-24: | female: 6.1% (2014 est.) |
