| People and Society | Congo, Democratic Republic of the |
| Sanitation facility access: | rural: 29.8% of population |
| Sanitation facility access: | total: 40.7% of population |
| Sanitation facility access: | unimproved: urban: 44.5% of population |
| Sanitation facility access: | rural: 70.2% of population |
| Sanitation facility access: | total: 59.3% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 520,000 (2019 est.) |
| HIV/AIDS - deaths: | 15,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and trypanosomiasis-gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | note - on 18 October 2019, the Centers for Disease Control and Prevention issued a Travel Health Notice for an Ebola outbreak in the South Kivu (Kivu Sud), North Kivu (Kivu Nord), and Ituri provinces in the northeastern part of the Democratic Republic of the Congo; travelers to this area could be infected with Ebola if they come into contact with an infected personâ€™s blood or other body fluids; travelers should seek medical care immediately if they develop fever, muscle pain, sore throat, diarrhea, weakness, vomiting, stomach pain, orÂ unexplained bleeding or bruisingÂ during or after travel |
| Obesity - adult prevalence rate: | 6.7% (2016) |
| Children under the age of 5 years underweight: | 23.4% (2013) |
| Education expenditures: | 1.5% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 77% |
| Literacy: | male: 88.5% |
| Literacy: | female: 66.5% (2016) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2013) |
| Unemployment, youth ages 15-24: | total: 8.7% |
| Unemployment, youth ages 15-24: | male: 11.3% |
| Unemployment, youth ages 15-24: | female: 6.8% (2012 est.) |
