| People and Society | CONGO, DEMOCRATIC REPUBLIC OF THE |
| Death rate: | 9.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | urban clusters are spread throughout the country, particularly in the northeast along the boarder with Uganda, Rwanda, and Burundi; the largest city is the capital, Kinshasha, located in the west along the Congo River; the south is least densely populated |
| Urbanization: | urban population: 43.5% of total population (2017) |
| Urbanization: | rate of urbanization: 3.83% annual rate of change (2015-20 est.) |
| Major urban areas - population: | KINSHASA (capital) 11.587 million; Lubumbashi 2.015 million; Mbuji-Mayi 2.007 million; Kananga 1.169 million; Kisangani 1.04 million; Bukavu 832,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.9 years |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013/14 est.) |
| Maternal mortality rate: | 693 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 68.2 deaths/1,000 live births |
| Infant mortality rate: | male: 71.7 deaths/1,000 live births |
| Infant mortality rate: | female: 64.6 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 57.7 years |
| Life expectancy at birth: | male: 56.1 years |
| Life expectancy at birth: | female: 59.3 years (2017 est.) |
| Total fertility rate: | 4.39 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 20.4% (2013/14) |
| Health expenditures: | 4.3% of GDP (2014) |
| Physicians density: | 9 physicians/1,000 population (2009) |
| Hospital bed density: | 0.8 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 81.1% of population |
| Drinking water source: | rural: 31.2% of population |
| Drinking water source: | total: 52.4% of population |
| unimproved: | urban: 18.9% of population |
| unimproved: | rural: 68.8% of population |
| unimproved: | total: 47.6% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 28.5% of population |
| Sanitation facility access: | rural: 28.7% of population |
| Sanitation facility access: | total: 28.7% of population |
| unimproved: | urban: 71.5% of population |
| unimproved: | rural: 71.3% of population |
| unimproved: | total: 71.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.7% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 370,000 (2016 est.) |
| HIV/AIDS - deaths: | 19,000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and trypanosomiasis-gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 6.7% (2016) |
| Children under the age of 5 years underweight: | 23.4% (2013) |
| Education expenditures: | 2.2% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write French, Lingala, Kingwana, or Tshiluba |
| Literacy: | total population: 77% |
| Literacy: | male: 88.5% |
| Literacy: | female: 66.5% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2013) |
