| People and Society | TUNISIA |
| Net migration rate: | -1.7 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | the overwhelming majority of the population is located in the northern half of the country; the south remains largely underpopulated |
| Urbanization: | urban population: 66.8% of total population (2015) |
| Urbanization: | rate of urbanization: 1.38% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TUNIS (capital) 1.993 million (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.94 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.97 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Maternal mortality rate: | 62 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 21.6 deaths/1,000 live births |
| Infant mortality rate: | male: 24.8 deaths/1,000 live births |
| Infant mortality rate: | female: 18.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 76.1 years |
| Life expectancy at birth: | male: 74 years |
| Life expectancy at birth: | female: 78.4 years (2016 est.) |
| Total fertility rate: | 1.98 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 62.5% (2011/12) |
| Health expenditures: | 7% of GDP (2014) |
| Physicians density: | 1.22 physicians/1,000 population (2010) |
| Hospital bed density: | 2.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 93.2% of population |
| Drinking water source: | total: 97.7% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 6.8% of population |
| unimproved: | total: 2.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.4% of population |
| Sanitation facility access: | rural: 79.8% of population |
| Sanitation facility access: | total: 91.6% of population |
| unimproved: | urban: 2.6% of population |
| unimproved: | rural: 20.2% of population |
| unimproved: | total: 8.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.04% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,600 (2015 est.) |
| HIV/AIDS - deaths: | 100 (2015 est.) |
| Obesity - adult prevalence rate: | 27.1% (2014) |
| Children under the age of 5 years underweight: | 2.3% (2012) |
| Education expenditures: | 6.2% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.8% |
| Literacy: | male: 89.6% |
| Literacy: | female: 74.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2014) |
| Unemployment, youth ages 15-24: | total: 37.6% |
| Unemployment, youth ages 15-24: | male: 35.7% |
| Unemployment, youth ages 15-24: | female: 41.8% (2012 est.) |
