| People and Society | Burundi |
| Population distribution: | one of Africa's most densely populated countries; concentrations tend to be in the north and along the northern shore of Lake Tanganyika in the west; most people live on farms near areas of fertile volcanic soil |
| Urbanization: | urban population: 13% of total population (2018) |
| Urbanization: | rate of urbanization: 5.68% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 899,000 BUJUMBURA (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.89 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.74 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.99 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 21.3 years (2010 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 712 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 57.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 63.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 50.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 61.4 years (2018 est.) |
| Life expectancy at birth: | male: 59.6 years (2018 est.) |
| Life expectancy at birth: | female: 63.2 years (2018 est.) |
| Total fertility rate: | 5.93 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 28.5% (2016/17) |
| Health expenditures: | 7.5% of GDP (2014) |
| Hospital bed density: | 0.8 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 91.1% of population |
| Drinking water source: | rural: 73.8% of population |
| Drinking water source: | total: 75.9% of population |
| Drinking water source: | unimproved: urban: 8.9% of population |
| Drinking water source: | rural: 26.2% of population |
| Drinking water source: | total: 24.1% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 43.8% of population (2015 est.) |
| Sanitation facility access: | rural: 48.6% of population (2015 est.) |
| Sanitation facility access: | total: 48% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 56.2% of population (2015 est.) |
| Sanitation facility access: | rural: 51.4% of population (2015 est.) |
| Sanitation facility access: | total: 52% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 78,000 (2017 est.) |
| HIV/AIDS - deaths: | 1,700 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 5.4% (2016) |
| Children under the age of 5 years underweight: | 29.3% (2016) |
| Education expenditures: | 5.4% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 85.6% (2015 est.) |
| Literacy: | male: 88.2% (2015 est.) |
| Literacy: | female: 83.1% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2013) |
| School life expectancy (primary to tertiary education): | male: 11 years (2013) |
| School life expectancy (primary to tertiary education): | female: 10 years (2013) |
| Unemployment, youth ages 15-24: | total: 2.9% (2014 est.) |
| Unemployment, youth ages 15-24: | male: 4.4% (2014 est.) |
| Unemployment, youth ages 15-24: | female: 2% (2014 est.) |
