| People and Society | BURKINA FASO |
| Sanitation facility access: | total: 19.7% of population |
| unimproved: | urban: 49.6% of population |
| unimproved: | rural: 93.3% of population |
| unimproved: | total: 80.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 95,000 (2016 est.) |
| HIV/AIDS - deaths: | 3,100 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever, malaria, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 5.6% (2016) |
| Children under the age of 5 years underweight: | 19.2% (2016) |
| Education expenditures: | 3.9% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 36% |
| Literacy: | male: 43% |
| Literacy: | female: 29.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2013) |
