| People and Society | NAMIBIA |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 17.2% (2016) |
| Children under the age of 5 years underweight: | 13.2% (2013) |
| Education expenditures: | 8.3% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.9% |
| Literacy: | male: 79.2% |
| Literacy: | female: 84.5% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 56.2% |
| Unemployment, youth ages 15-24: | male: 49.4% |
| Unemployment, youth ages 15-24: | female: 62.2% (2013 est.) |
