| People and Society | Peru |
| population pyramid: | total dependency ratio: 54.2 % |
| population pyramid: | youth dependency ratio: 44.4 % |
| population pyramid: | elderly dependency ratio: 9.9 % |
| population pyramid: | potential support ratio: 10.1 (2013) |
| Median age: | total: 26.7 years |
| Median age: | male: 26 years |
| Median age: | female: 27.4 years (2013 est.) |
| Population growth rate: | 1% (2013 est.) |
| Birth rate: | 18.85 births/1,000 population (2013 est.) |
| Death rate: | 5.97 deaths/1,000 population (2013 est.) |
| Net migration rate: | -2.86 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 77% of total population (2010) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LIMA (capital) 8.769 million; Arequipa 778,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 22.3 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2012 est.) |
| Maternal mortality rate: | 67 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 20.85 deaths/1,000 live births |
| Infant mortality rate: | male: 23.1 deaths/1,000 live births |
| Infant mortality rate: | female: 18.49 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 72.98 years |
| Life expectancy at birth: | male: 71.01 years |
| Life expectancy at birth: | female: 75.05 years (2013 est.) |
| Total fertility rate: | 2.25 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 68.9% (2011) |
| Health expenditures: | 4.8% of GDP (2011) |
| Physicians density: | 0.92 physicians/1,000 population (2009) |
| Hospital bed density: | 1.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91% of population |
| Drinking water source: | rural: 65% of population |
| Drinking water source: | total: 85% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 35% of population |
| unimproved: | total: 15% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 81% of population |
| Sanitation facility access: | rural: 37% of population |
| Sanitation facility access: | total: 71% of population |
| unimproved: | urban: 19% of population |
| unimproved: | rural: 63% of population |
| unimproved: | total: 29% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 75,000 (2009 est.) |
| HIV/AIDS - deaths: | 5,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever, malaria, and Bartonellosis (Oroya fever) (2013) |
| Obesity - adult prevalence rate: | 15.7% (2008) |
| Children under the age of 5 years underweight: | 4.5% (2008) |
| Education expenditures: | 2.6% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 84.6% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Child labor - children ages 5-14: | total number: 2,545,855 |
| Child labor - children ages 5-14: | percentage: 34 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 16.2% (2011) |
