| People and Society | Peru |
| Sex ratio: | total population: 0.97 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 22.2 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 68 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 17.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 19.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 15.6 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 74.2 years (2018 est.) |
| Life expectancy at birth: | male: 72.1 years (2018 est.) |
| Life expectancy at birth: | female: 76.4 years (2018 est.) |
| Total fertility rate: | 2.1 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 76.2% (2016) |
| Health expenditures: | 5.5% of GDP (2014) |
| Physicians density: | 1.12 physicians/1,000 population (2012) |
| Hospital bed density: | 1.6 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 91.4% of population |
| Drinking water source: | rural: 69.2% of population |
| Drinking water source: | total: 86.7% of population |
| Drinking water source: | unimproved: urban: 8.6% of population |
| Drinking water source: | rural: 30.8% of population |
| Drinking water source: | total: 13.3% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 82.5% of population (2015 est.) |
| Sanitation facility access: | rural: 53.2% of population (2015 est.) |
| Sanitation facility access: | total: 76.2% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 17.5% of population (2015 est.) |
| Sanitation facility access: | rural: 46.8% of population (2015 est.) |
| Sanitation facility access: | total: 23.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 72,000 (2017 est.) |
| HIV/AIDS - deaths: | 2,100 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Bartonellosis (Oroya fever) (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 19.7% (2016) |
| Children under the age of 5 years underweight: | 3.1% (2016) |
| Education expenditures: | 3.8% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write (2016 est.) |
| Literacy: | total population: 94.2% (2016 est.) |
| Literacy: | male: 97.2% (2016 est.) |
| Literacy: | female: 94.3% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years (2010) |
| School life expectancy (primary to tertiary education): | male: 13 years (2010) |
| School life expectancy (primary to tertiary education): | female: 14 years (2010) |
| Unemployment, youth ages 15-24: | total: 15.2% (2017 est.) |
| Unemployment, youth ages 15-24: | male: 14.8% (2017 est.) |
| Unemployment, youth ages 15-24: | female: 15.6% (2017 est.) |
