| People and Society | PERU |
| population pyramid: | total dependency ratio: 53.2% |
| population pyramid: | youth dependency ratio: 42.7% |
| population pyramid: | elderly dependency ratio: 10.5% |
| population pyramid: | potential support ratio: 9.6% (2015 est.) |
| Median age: | total: 27.3 years |
| Median age: | male: 26.6 years |
| Median age: | female: 28.1 years (2015 est.) |
| Population growth rate: | 0.97% (2015 est.) |
| Birth rate: | 18.28 births/1,000 population (2015 est.) |
| Death rate: | 6.01 deaths/1,000 population (2015 est.) |
| Net migration rate: | -2.53 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 78.6% of total population (2015) |
| Urbanization: | rate of urbanization: 1.69% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LIMA (capital) 9.897 million; Arequipa 850,000; Trujillo 798,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 19.59 deaths/1,000 live births |
| Infant mortality rate: | male: 21.79 deaths/1,000 live births |
| Infant mortality rate: | female: 17.29 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 73.48 years |
| Life expectancy at birth: | male: 71.45 years |
| Life expectancy at birth: | female: 75.6 years (2015 est.) |
| Total fertility rate: | 2.18 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 75.5% (2012) |
| Health expenditures: | 5.3% of GDP (2013) |
| Physicians density: | 1.13 physicians/1,000 population (2012) |
| Hospital bed density: | 1.5 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91.4% of population |
| Drinking water source: | rural: 69.2% of population |
| Drinking water source: | total: 86.7% of population |
| unimproved: | urban: 8.6% of population |
| unimproved: | rural: 30.8% of population |
| unimproved: | total: 13.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.5% of population |
| Sanitation facility access: | rural: 53.2% of population |
| Sanitation facility access: | total: 76.2% of population |
| unimproved: | urban: 17.5% of population |
| unimproved: | rural: 46.8% of population |
| unimproved: | total: 23.8% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.36% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 71,900 (2014 est.) |
| HIV/AIDS - deaths: | 2,500 (2014 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever, malaria, and Bartonellosis (Oroya fever) (2013) |
| Obesity - adult prevalence rate: | 20.4% (2014) |
| Children under the age of 5 years underweight: | 3.5% (2012) |
| Education expenditures: | 3.3% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.5% |
| Literacy: | male: 97.3% |
| Literacy: | female: 91.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Child labor - children ages 5-14: | total number: 2,545,855 |
| Child labor - children ages 5-14: | percentage: 34% |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 9.5% |
| Unemployment, youth ages 15-24: | male: 9.4% |
| Unemployment, youth ages 15-24: | female: 9.7% (2011 est.) |
