| People and Society | Madagascar |
| Age structure: | 15-24 years: 20.23% (male 2,608,996 /female 2,587,745) |
| Age structure: | 25-54 years: 32.42% (male 4,160,278 /female 4,166,538) |
| Age structure: | 55-64 years: 4.45% (male 560,072 /female 581,963) |
| Age structure: | 65 years and over: 3.35% (male 390,094 /female 470,682) (2018 est.) |
| Dependency ratios: | total dependency ratio: 80.1 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 75 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.6 (2015 est.) |
| Median age: | total: 19.9 years |
| Median age: | male: 19.7 years |
| Median age: | female: 20.1 years (2018 est.) |
| Population growth rate: | 2.46% (2018 est.) |
| Birth rate: | 31 births/1,000 population (2018 est.) |
| Death rate: | 6.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of population lives on the eastern half of the island; significant clustering is found in the central highlands and eastern coastline |
| Urbanization: | urban population: 37.2% of total population (2018) |
| Urbanization: | rate of urbanization: 4.48% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 3.058 million ANTANANARIVO (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.95 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.83 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 19.5 years (2008/09 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 353 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 40.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 43.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 36.2 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 66.6 years (2018 est.) |
| Life expectancy at birth: | male: 65.1 years (2018 est.) |
| Life expectancy at birth: | female: 68.2 years (2018 est.) |
| Total fertility rate: | 3.95 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 39.8% (2012/13) |
| Health expenditures: | 3% of GDP (2014) |
| Physicians density: | 0.14 physicians/1,000 population (2012) |
| Hospital bed density: | 0.2 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 81.6% of population |
| Drinking water source: | rural: 35.3% of population |
| Drinking water source: | total: 51.5% of population |
| Drinking water source: | unimproved: urban: 18.4% of population |
| Drinking water source: | rural: 64.7% of population |
| Drinking water source: | total: 48.5% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 18% of population (2015 est.) |
| Sanitation facility access: | rural: 8.7% of population (2015 est.) |
| Sanitation facility access: | total: 12% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 82% of population (2015 est.) |
| Sanitation facility access: | rural: 91.3% of population (2015 est.) |
| Sanitation facility access: | total: 88% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 35,000 (2017 est.) |
| HIV/AIDS - deaths: | 1,600 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 5.3% (2016) |
| Education expenditures: | 2.1% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 64.7% (2015 est.) |
| Literacy: | male: 66.7% (2015 est.) |
| Literacy: | female: 62.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2014) |
| School life expectancy (primary to tertiary education): | male: 11 years (2014) |
| School life expectancy (primary to tertiary education): | female: 10 years (2014) |
| Unemployment, youth ages 15-24: | total: 1% (2012 est.) |
| Unemployment, youth ages 15-24: | male: 1% (2012 est.) |
| Unemployment, youth ages 15-24: | female: 1% (2012 est.) |
