| People and Society | Gabon |
| Current Health Expenditure: | 2.8% (2017) |
| Physicians density: | 0.68 physicians/1,000 population (2017) |
| Hospital bed density: | 6.3 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 77.7% of population |
| Sanitation facility access: | rural: 51.9% of population |
| Sanitation facility access: | total: 74.8% of population |
| Sanitation facility access: | unimproved: urban: 22.3% of population |
| Sanitation facility access: | rural: 48.1% of population |
| Sanitation facility access: | total: 25.2% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 3.6% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 51,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,100 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Obesity - adult prevalence rate: | 15% (2016) |
| Children under the age of 5 years underweight: | 6.4% (2012) |
| Education expenditures: | 2.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 84.7% |
| Literacy: | male: 85.9% |
| Literacy: | female: 83.4% (2018) |
| Unemployment, youth ages 15-24: | total: 35.7% |
| Unemployment, youth ages 15-24: | male: 30.5% |
| Unemployment, youth ages 15-24: | female: 41.9% (2010 est.) |
