| People and Society | Gabon |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 252 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 32.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 36.4 deaths/1,000 live births |
| Infant mortality rate: | female: 29.3 deaths/1,000 live births |
| Life expectancy at birth: | total population: 68 years (2018 est.) |
| Life expectancy at birth: | male: 66.3 years |
| Life expectancy at birth: | female: 69.6 years |
| Total fertility rate: | 3.52 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 31.1% (2012) |
| Drinking water source: | improved: urban: 97.2% of population |
| Drinking water source: | rural: 66.7% of population |
| Drinking water source: | total: 93.2% of population |
| Drinking water source: | unimproved: urban: 2.8% of population |
| Drinking water source: | rural: 33.3% of population |
| Drinking water source: | total: 6.8% of population (2015 est.) |
| Current Health Expenditure: | 3.1% (2016) |
| Physicians density: | 0.36 physicians/1,000 population (2016) |
| Hospital bed density: | 6.3 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 43.4% of population (2015 est.) |
| Sanitation facility access: | rural: 31.5% of population (2015 est.) |
| Sanitation facility access: | total: 41.9% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 56.6% of population (2015 est.) |
| Sanitation facility access: | rural: 68.5% of population (2015 est.) |
| Sanitation facility access: | total: 58.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.8% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 53,000 (2018 est.) |
| HIV/AIDS - deaths: | 1,200 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Obesity - adult prevalence rate: | 15% (2016) |
| Children under the age of 5 years underweight: | 6.4% (2012) |
| Education expenditures: | 2.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 83.2% |
| Literacy: | male: 85.3% |
| Literacy: | female: 81% (2015) |
| Unemployment, youth ages 15-24: | total: 35.7% |
| Unemployment, youth ages 15-24: | male: 30.5% |
| Unemployment, youth ages 15-24: | female: 41.9% (2010 est.) |
