| People and Society | Botswana |
| Dependency ratios: | total dependency ratio: 61.1 |
| Dependency ratios: | youth dependency ratio: 53.8 |
| Dependency ratios: | elderly dependency ratio: 7.3 |
| Dependency ratios: | potential support ratio: 13.8 (2020 est.) |
| Median age: | total: 25.7 years |
| Median age: | male: 24.5 years |
| Median age: | female: 26.7 years (2020 est.) |
| Population growth rate: | 1.48% (2020 est.) |
| Birth rate: | 20.9 births/1,000 population (2020 est.) |
| Death rate: | 9.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | 2.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the population is primarily concentrated in the east with a focus in and around the captial of Gaborone, and the far central-eastern city of Francistown; population density remains low in other areas in the country, especially in the Kalahari to the west as shown in this population distribution map |
| Urbanization: | urban population: 70.9% of total population (2020) |
| Urbanization: | rate of urbanization: 2.87% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 269,000 GABORONE (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.97 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 0.76 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2020 est.) |
| Maternal mortality rate: | 144 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 26.8 deaths/1,000 live births |
| Infant mortality rate: | male: 29.2 deaths/1,000 live births |
| Infant mortality rate: | female: 24.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 64.8 years |
| Life expectancy at birth: | male: 62.8 years |
| Life expectancy at birth: | female: 66.9 years (2020 est.) |
| Total fertility rate: | 2.45 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 67.4% (2017) |
| Drinking water source: | improved: urban: 98.2% of population |
| Drinking water source: | rural: 94% of population |
| Drinking water source: | total: 96.9% of population |
| Drinking water source: | unimproved: urban: 1.8% of population |
| Drinking water source: | rural: 3.1% of population |
| Drinking water source: | total: 3.8% of population (2017 est.) |
| Current Health Expenditure: | 6.1% (2017) |
| Physicians density: | 0.53 physicians/1,000 population (2016) |
| Hospital bed density: | 1.8 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 92.9% of population |
| Sanitation facility access: | rural: 60.8% of population |
| Sanitation facility access: | total: 82.8% of population |
| Sanitation facility access: | unimproved: urban: 7.1% of population |
| Sanitation facility access: | rural: 39.2% of population |
| Sanitation facility access: | total: 17.2% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 22.2% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 380,000 (2019 est.) |
| HIV/AIDS - deaths: | 5,000 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria |
| Obesity - adult prevalence rate: | 18.9% (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.5% |
| Literacy: | male: 88% |
| Literacy: | female: 88.9% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2013) |
| Unemployment, youth ages 15-24: | total: 36% |
| Unemployment, youth ages 15-24: | male: 29.6% |
| Unemployment, youth ages 15-24: | female: 43.5% (2010 est.) |
