| People and Society | BOTSWANA |
| Age structure: | 0-14 years: 32.4% (male 364,807/female 350,888) |
| Age structure: | 15-24 years: 21.32% (male 234,251/female 236,650) |
| Age structure: | 25-54 years: 37.61% (male 444,290/female 386,622) |
| Age structure: | 55-64 years: 4.55% (male 45,186/female 55,272) |
| Age structure: | 65 years and over: 4.13% (male 36,216/female 55,026) (2016 est.) |
| Dependency ratios: | total dependency ratio: 55.3% |
| Dependency ratios: | youth dependency ratio: 49.7% |
| Dependency ratios: | elderly dependency ratio: 5.6% |
| Dependency ratios: | potential support ratio: 17.9% (2015 est.) |
| Median age: | total: 23.2 years |
| Median age: | male: 23.4 years |
| Median age: | female: 23.1 years (2016 est.) |
| Population growth rate: | 1.19% (2016 est.) |
| Birth rate: | 20.7 births/1,000 population (2016 est.) |
| Death rate: | 13.3 deaths/1,000 population (2016 est.) |
| Net migration rate: | 4.5 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 57.4% of total population (2015) |
| Urbanization: | rate of urbanization: 1.29% annual rate of change (2010-15 est.) |
| Major urban areas - population: | GABORONE (capital) 247,000 (2014) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 0.99 male(s)/female |
| Sex ratio: | 25-54 years: 1.15 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 1.04 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19 (2007 est.) |
| Maternal mortality rate: | 129 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8.6 deaths/1,000 live births |
| Infant mortality rate: | male: 8.9 deaths/1,000 live births |
| Infant mortality rate: | female: 8.3 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 54.5 years |
| Life expectancy at birth: | male: 56.3 years |
| Life expectancy at birth: | female: 52.6 years (2016 est.) |
| Total fertility rate: | 2.3 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 52.8% |
| Contraceptive prevalence rate: | note: percent of women aged 12-49 (2007/08) |
| Health expenditures: | 5.4% of GDP (2014) |
| Physicians density: | 0.4 physicians/1,000 population (2009) |
| Hospital bed density: | 1.8 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.2% of population |
| Drinking water source: | rural: 92.3% of population |
| Drinking water source: | total: 96.2% of population |
| unimproved: | urban: 0.8% of population |
| unimproved: | rural: 7.7% of population |
| unimproved: | total: 3.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 78.5% of population |
| Sanitation facility access: | rural: 43.1% of population |
| Sanitation facility access: | total: 63.4% of population |
| unimproved: | urban: 21.5% of population |
| unimproved: | rural: 56.9% of population |
| unimproved: | total: 36.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 22.21% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 348,900 (2015 est.) |
| HIV/AIDS - deaths: | 3,200 (2015 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2016) |
| Obesity - adult prevalence rate: | 19.5% (2014) |
| Children under the age of 5 years underweight: | 11.2% (2008) |
| Education expenditures: | 9.6% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 88.5% |
| Literacy: | male: 88% |
| Literacy: | female: 88.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2013) |
| Child labor - children ages 5-14: | total number: 45,036 |
| Child labor - children ages 5-14: | percentage: 9% |
| Child labor - children ages 5-14: | note: data represent children ages 7-17 (2006 est.) |
| Unemployment, youth ages 15-24: | total: 36% |
| Unemployment, youth ages 15-24: | male: 29.6% |
| Unemployment, youth ages 15-24: | female: 43.5% (2010 est.) |
