| People and Society | TANZANIA |
| Demographic profile: | For Tanzania, most migration is internal, rural to urban movement, while some temporary labor migration from towns to plantations takes place seasonally for harvests. Tanzania was Africa’s largest refugee-hosting country for decades, hosting hundreds of thousands of refugees from the Great Lakes region, primarily Burundi, over the last fifty years. However, the assisted repatriation and naturalization of tens of thousands of Burundian refugees between 2002 and 2014 dramatically reduced the refugee population. Tanzania is increasingly a transit country for illegal migrants from the Horn of Africa and the Great Lakes region who are heading to southern Africa for security reasons and/or economic opportunities. Some of these migrants choose to settle in Tanzania. |
| Age structure: | 0-14 years: 44.06% (male 11,678,349/female 11,444,708) |
| Age structure: | 15-24 years: 19.71% (male 5,173,239/female 5,169,214) |
| Age structure: | 25-54 years: 29.74% (male 7,840,941/female 7,767,797) |
| Age structure: | 55-64 years: 3.5% (male 802,760/female 1,034,151) |
| Age structure: | 65 years and over: 2.99% (male 668,102/female 903,465) (2016 est.) |
| Dependency ratios: | total dependency ratio: 93.8% |
| Dependency ratios: | youth dependency ratio: 87.6% |
| Dependency ratios: | elderly dependency ratio: 6.2% |
| Dependency ratios: | potential support ratio: 16.1% (2015 est.) |
| Median age: | total: 17.6 years |
| Median age: | male: 17.3 years |
| Median age: | female: 17.9 years (2016 est.) |
| Population growth rate: | 2.77% (2016 est.) |
| Birth rate: | 36 births/1,000 population (2016 est.) |
| Death rate: | 7.8 deaths/1,000 population (2016 est.) |
| Net migration rate: | -0.5 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 31.6% of total population (2015) |
| Urbanization: | rate of urbanization: 5.36% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DAR ES SALAAM (capital) 5.116 million; Mwanza 838,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.78 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.6 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2010 est.) |
| Maternal mortality rate: | 398 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 41.2 deaths/1,000 live births |
| Infant mortality rate: | male: 43.2 deaths/1,000 live births |
| Infant mortality rate: | female: 39.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 62.2 years |
| Life expectancy at birth: | male: 60.8 years |
| Life expectancy at birth: | female: 63.6 years (2016 est.) |
| Total fertility rate: | 4.83 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 34.4% (2009/10) |
| Health expenditures: | 5.6% of GDP (2014) |
| Physicians density: | 0.03 physicians/1,000 population (2012) |
| Hospital bed density: | 0.7 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 77.2% of population |
| Drinking water source: | rural: 45.5% of population |
| Drinking water source: | total: 55.6% of population |
| unimproved: | urban: 22.1% of population |
| unimproved: | rural: 56% of population |
| unimproved: | total: 46.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 31.3% of population |
| Sanitation facility access: | rural: 8.3% of population |
| Sanitation facility access: | total: 15.6% of population |
| unimproved: | urban: 68.7% of population |
| unimproved: | rural: 91.7% of population |
| unimproved: | total: 84.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 4.69% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,385,800 (2015 est.) |
| HIV/AIDS - deaths: | 35,700 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact diseases: schistosomiasis and leptospirosis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 5.9% (2014) |
| Children under the age of 5 years underweight: | 13.6% (2011) |
| Education expenditures: | 3.5% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 70.6% |
| Literacy: | male: 75.9% |
| Literacy: | female: 65.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2013) |
| Child labor - children ages 5-14: | total number: 2,815,085 |
| Child labor - children ages 5-14: | percentage: 21% |
| Child labor - children ages 5-14: | note: data represent children ages 5-17 and does not include Zanzibar (2006 est.) |
| Unemployment, youth ages 15-24: | total: 5.8% |
| Unemployment, youth ages 15-24: | male: 4.5% |
| Unemployment, youth ages 15-24: | female: 7.2% (2013 est.) |
