| People and Society | Tanzania |
| Demographic profile: | For Tanzania, most migration is internal, rural to urban movement, while some temporary labor migration from towns to plantations takes place seasonally for harvests. Tanzania was Africaâ€™s largest refugee-hosting country for decades, hosting hundreds of thousands of refugees from the Great Lakes region, primarily Burundi, over the last fifty years. However, the assisted repatriation and naturalization of tens of thousands of Burundian refugees between 2002 and 2014 dramatically reduced the refugee population. Tanzania is increasingly a transit country for illegal migrants from the Horn of Africa and the Great Lakes region who are heading to southern Africa for security reasons and/or economic opportunities. Some of these migrants choose to settle in Tanzania. |
| Age structure: | 0-14 years: 42.7% (male 12,632,772/female 12,369,115) |
| Age structure: | 15-24 years: 20.39% (male 5,988,208/female 5,948,134) |
| Age structure: | 25-54 years: 30.31% (male 8,903,629/female 8,844,180) |
| Age structure: | 55-64 years: 3.52% (male 954,251/female 1,107,717) |
| Age structure: | 65 years and over: 3.08% (male 747,934/female 1,056,905) (2020 est.) |
| Dependency ratios: | total dependency ratio: 85.9 |
| Dependency ratios: | youth dependency ratio: 81 |
| Dependency ratios: | elderly dependency ratio: 4.9 |
| Dependency ratios: | potential support ratio: 20.4 (2020 est.) |
| Median age: | total: 18.2 years |
| Median age: | male: 17.9 years |
| Median age: | female: 18.4 years (2020 est.) |
| Population growth rate: | 2.71% (2020 est.) |
| Birth rate: | 34.6 births/1,000 population (2020 est.) |
| Death rate: | 7.1 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.4 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the largest and most populous East African country; population distribution is extremely uneven, but greater population clusters occur in the northern half of country and along the east coast as shown in this population distribution map |
| Urbanization: | urban population: 35.2% of total population (2020) |
| Urbanization: | rate of urbanization: 5.22% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 262,000 Dodoma (legislative capital) (2018), 6.702 million DAR ES SALAAM (administrative capital), 1.120 million Mwanza (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.86 male(s)/female |
| Sex ratio: | 65 years and over: 0.71 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 19.8 years (2015/16 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 524 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 36.4 deaths/1,000 live births |
| Infant mortality rate: | male: 38.5 deaths/1,000 live births |
| Infant mortality rate: | female: 34.4 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 63.9 years |
| Life expectancy at birth: | male: 62.3 years |
| Life expectancy at birth: | female: 65.5 years (2020 est.) |
| Total fertility rate: | 4.59 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 38.4% (2015/16) |
| Drinking water source: | improved: urban: 92.3% of population |
| Drinking water source: | rural: 56.2% of population |
| Drinking water source: | total: 68.2% of population |
| Drinking water source: | unimproved: urban: 7.7% of population |
| Drinking water source: | rural: 43.8% of population |
| Drinking water source: | total: 31.8% of population (2017 est.) |
| Current Health Expenditure: | 3.6% (2017) |
| Physicians density: | 0.01 physicians/1,000 population (2016) |
| Hospital bed density: | 0.7 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 82.1% of population |
| Sanitation facility access: | rural: 29.5% of population |
| Sanitation facility access: | total: 46.9% of population |
| Sanitation facility access: | unimproved: urban: 17.9% of population |
| Sanitation facility access: | rural: 70.5% of population |
| Sanitation facility access: | total: 53.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 5.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.7 million (2019 est.) |
| HIV/AIDS - deaths: | 27,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Obesity - adult prevalence rate: | 8.4% (2016) |
| Children under the age of 5 years underweight: | 14.6% (2018) |
| Education expenditures: | 3.4% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write Kiswahili (Swahili), English, or Arabic |
| Literacy: | total population: 77.9% |
| Literacy: | male: 83.2% |
| Literacy: | female: 73.1% (2015) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2019) |
| Unemployment, youth ages 15-24: | total: 3.9% |
| Unemployment, youth ages 15-24: | male: 3.1% |
| Unemployment, youth ages 15-24: | female: 4.6% (2014 est.) |
