| People and Society | Ecuador |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 16.2% of population |
| Drinking water source: | total: 6% of population (2017 est.) |
| Current Health Expenditure: | 8.3% (2017) |
| Physicians density: | 2.04 physicians/1,000 population (2016) |
| Hospital bed density: | 1.4 beds/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | rural: 91.9% of population |
| Sanitation facility access: | total: 97.1% of population |
| Sanitation facility access: | unimproved: urban: 0% of population |
| Sanitation facility access: | rural: 8.1% of population |
| Sanitation facility access: | total: 2.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 47,000 (2019 est.) |
| HIV/AIDS - deaths: | <1000 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Obesity - adult prevalence rate: | 19.9% (2016) |
| Children under the age of 5 years underweight: | 5.1% (2014) |
| Education expenditures: | 5% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.8% |
| Literacy: | male: 93.8% |
| Literacy: | female: 92.1% (2017) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
| Unemployment, youth ages 15-24: | total: 7.9% |
| Unemployment, youth ages 15-24: | male: 6.4% |
| Unemployment, youth ages 15-24: | female: 10.6% (2018 est.) |
