| People and Society | BELIZE |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2015 est.) |
| Maternal mortality rate: | 28 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 19.82 deaths/1,000 live births |
| Infant mortality rate: | male: 22.08 deaths/1,000 live births |
| Infant mortality rate: | female: 17.44 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 68.59 years |
| Life expectancy at birth: | male: 67.01 years |
| Life expectancy at birth: | female: 70.25 years (2015 est.) |
| Total fertility rate: | 2.95 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 55.2% (2011) |
| Health expenditures: | 5.4% of GDP (2013) |
| Physicians density: | 0.83 physicians/1,000 population (2009) |
| Hospital bed density: | 1.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.9% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.5% of population |
| unimproved: | urban: 1.1% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.5% of population |
| Sanitation facility access: | rural: 88.2% of population |
| Sanitation facility access: | total: 90.5% of population |
| unimproved: | urban: 6.5% of population |
| unimproved: | rural: 11.8% of population |
| unimproved: | total: 9.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.18% (2014 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,700 (2014 est.) |
| HIV/AIDS - deaths: | 100 (2014 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 20.6% (2014) |
| Children under the age of 5 years underweight: | 6.2% (2011) |
| Education expenditures: | 6.6% of GDP (2010) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2013) |
| Child labor - children ages 5-14: | total number: 27,751 |
| Child labor - children ages 5-14: | percentage: 40% (2001 est.) |
| Unemployment, youth ages 15-24: | total: 25% |
| Unemployment, youth ages 15-24: | male: 18% |
| Unemployment, youth ages 15-24: | female: 35.6% (2012 est.) |
