| People and Society | Belize |
| HIV/AIDS - deaths: | <200 (2018 est.) |
| Obesity - adult prevalence rate: | 24.1% (2016) |
| Children under the age of 5 years underweight: | 4.6% (2015) |
| Education expenditures: | 7.6% of GDP (2018) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2019) |
| Unemployment, youth ages 15-24: | total: 15.3% |
| Unemployment, youth ages 15-24: | male: 9.5% |
| Unemployment, youth ages 15-24: | female: 24.8% (2017 est.) |
