| People and Society | BELIZE |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.5% of population |
| Sanitation facility access: | rural: 88.2% of population |
| Sanitation facility access: | total: 90.5% of population |
| unimproved: | urban: 6.5% of population |
| unimproved: | rural: 11.8% of population |
| unimproved: | total: 9.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.8% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,300 (2016 est.) |
| HIV/AIDS - deaths: | <200 (2016 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 24.1% (2016) |
| Children under the age of 5 years underweight: | 4.6% (2015) |
| Education expenditures: | 6.2% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2015) |
| Unemployment, youth ages 15-24: | total: 18.9% |
| Unemployment, youth ages 15-24: | male: 12.1% |
| Unemployment, youth ages 15-24: | female: 29.6% (2015 est.) |
