| People and Society | Tunisia |
| Dependency ratios: | potential support ratio: 9 (2015 est.) |
| Median age: | total: 32 years (2018 est.) |
| Median age: | male: 31.3 years |
| Median age: | female: 32.5 years |
| Population growth rate: | 0.95% (2018 est.) |
| Birth rate: | 17.4 births/1,000 population (2018 est.) |
| Death rate: | 6.4 deaths/1,000 population (2018 est.) |
| Net migration rate: | -1.6 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the overwhelming majority of the population is located in the northern half of the country; the south remains largely underpopulated |
| Urbanization: | urban population: 69.3% of total population (2019) |
| Urbanization: | rate of urbanization: 1.53% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 2.328 million TUNIS (capital) (2019) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 1 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2018 est.) |
| Maternal mortality rate: | 43 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11.7 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 12.8 deaths/1,000 live births |
| Infant mortality rate: | female: 10.5 deaths/1,000 live births |
| Life expectancy at birth: | total population: 75.9 years (2018 est.) |
| Life expectancy at birth: | male: 74.3 years |
| Life expectancy at birth: | female: 77.6 years |
| Total fertility rate: | 2.17 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 62.5% (2011/12) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 93.2% of population |
| Drinking water source: | total: 97.7% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 6.8% of population |
| Drinking water source: | total: 2.3% of population (2015 est.) |
| Current Health Expenditure: | 7% (2016) |
| Physicians density: | 1.27 physicians/1,000 population (2016) |
| Hospital bed density: | 2.2 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 97.4% of population (2015 est.) |
| Sanitation facility access: | rural: 79.8% of population (2015 est.) |
| Sanitation facility access: | total: 91.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 2.6% of population (2015 est.) |
| Sanitation facility access: | rural: 20.2% of population (2015 est.) |
| Sanitation facility access: | total: 8.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,800 (2018 est.) |
| HIV/AIDS - deaths: | <100 (2018 est.) |
| Obesity - adult prevalence rate: | 26.9% (2016) |
| Children under the age of 5 years underweight: | 2.8% (2012) |
| Education expenditures: | 6.6% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.8% |
| Literacy: | male: 89.6% |
| Literacy: | female: 74.2% (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years NA |
| School life expectancy (primary to tertiary education): | female: 16 years NA (2016) |
| Unemployment, youth ages 15-24: | total: 34.7% |
| Unemployment, youth ages 15-24: | male: 33.4% |
| Unemployment, youth ages 15-24: | female: 37.7% (2013 est.) |
