| People and Society | Tunisia |
| Demographic profile: | Following the ousting of BEN ALI in 2011, the illegal migration of unemployed Tunisian youths to Italy and onward to France soared into the tens of thousands. Thousands more Tunisian and foreign workers escaping civil war in Libya flooded into Tunisia and joined the exodus. A readmission agreement signed by Italy and Tunisia in April 2011 helped stem the outflow, leaving Tunisia and international organizations to repatriate, resettle, or accommodate some 1 million Libyans and third-country nationals. |
| Age structure: | 0-14 years: 25.28% (male 1,529,834/female 1,433,357) |
| Age structure: | 15-24 years: 12.9% (male 766,331/female 745,888) |
| Age structure: | 25-54 years: 42.85% (male 2,445,751/female 2,576,335) |
| Age structure: | 55-64 years: 10.12% (male 587,481/female 598,140) |
| Age structure: | 65 years and over: 8.86% (male 491,602/female 546,458) (2020 est.) |
| Dependency ratios: | total dependency ratio: 49.6 |
| Dependency ratios: | youth dependency ratio: 36.3 |
| Dependency ratios: | elderly dependency ratio: 13.3 |
| Dependency ratios: | potential support ratio: 7.5 (2020 est.) |
| Median age: | total: 32.7 years |
| Median age: | male: 32 years |
| Median age: | female: 33.3 years (2020 est.) |
| Population growth rate: | 0.85% (2020 est.) |
| Birth rate: | 15.9 births/1,000 population (2020 est.) |
| Death rate: | 6.4 deaths/1,000 population (2020 est.) |
| Net migration rate: | -1.4 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the overwhelming majority of the population is located in the northern half of the country; the south remains largely underpopulated as shown in this population distribution map |
| Urbanization: | urban population: 69.6% of total population (2020) |
| Urbanization: | rate of urbanization: 1.53% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.365 million TUNIS (capital) (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.95 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2020 est.) |
| Maternal mortality rate: | 43 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 11 deaths/1,000 live births |
| Infant mortality rate: | male: 12 deaths/1,000 live births |
| Infant mortality rate: | female: 9.8 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 76.3 years |
| Life expectancy at birth: | male: 74.6 years |
| Life expectancy at birth: | female: 78.1 years (2020 est.) |
| Total fertility rate: | 2.06 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 50.7% (2018) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 94.3% of population |
| Drinking water source: | total: 98.2% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 5.7% of population |
| Drinking water source: | total: 1.8% of population (2017 est.) |
| Current Health Expenditure: | 7.2% (2017) |
| Physicians density: | 1.3 physicians/1,000 population (2017) |
| Hospital bed density: | 2.2 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 97.6% of population |
| Sanitation facility access: | rural: 92.4% of population |
| Sanitation facility access: | total: 95.9% of population |
| Sanitation facility access: | unimproved: urban: 2.4% of population |
| Sanitation facility access: | rural: 7.6% of population |
| Sanitation facility access: | total: 4.1% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,500 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Obesity - adult prevalence rate: | 26.9% (2016) |
| Children under the age of 5 years underweight: | 1.6% (2018) |
| Education expenditures: | 6.6% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.8% |
| Literacy: | male: 89.6% |
| Literacy: | female: 74.2% (2015) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years NA |
| School life expectancy (primary to tertiary education): | female: 16 years NA (2016) |
| Unemployment, youth ages 15-24: | total: 35% |
| Unemployment, youth ages 15-24: | male: 34% |
| Unemployment, youth ages 15-24: | female: 37.4% (2015 est.) |
