| People and Society | TUNISIA |
| Hospital bed density: | 2.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 93.2% of population |
| Drinking water source: | total: 97.7% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 6.8% of population |
| unimproved: | total: 2.3% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97.4% of population |
| Sanitation facility access: | rural: 79.8% of population |
| Sanitation facility access: | total: 91.6% of population |
| unimproved: | urban: 2.6% of population |
| unimproved: | rural: 20.2% of population |
| unimproved: | total: 8.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 2,900 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 26.9% (2016) |
| Children under the age of 5 years underweight: | 2.3% (2012) |
| Education expenditures: | 6.3% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 81.8% |
| Literacy: | male: 89.6% |
| Literacy: | female: 74.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: NA |
| School life expectancy (primary to tertiary education): | female: NA (2015) |
| Unemployment, youth ages 15-24: | total: 37.6% |
| Unemployment, youth ages 15-24: | male: 35.7% |
| Unemployment, youth ages 15-24: | female: 41.8% (2012 est.) |
