| People and Society | GAMBIA, THE |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 20.9 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 706 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 62 deaths/1,000 live births |
| Infant mortality rate: | male: 67.4 deaths/1,000 live births |
| Infant mortality rate: | female: 56.5 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 64.9 years |
| Life expectancy at birth: | male: 62.5 years |
| Life expectancy at birth: | female: 67.3 years (2016 est.) |
| Total fertility rate: | 3.63 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 9% (2013) |
| Health expenditures: | 7.3% of GDP (2014) |
| Physicians density: | 0.11 physicians/1,000 population (2008) |
| Hospital bed density: | 1.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.2% of population |
| Drinking water source: | rural: 84.4% of population |
| Drinking water source: | total: 90.2% of population |
| unimproved: | urban: 5.8% of population |
| unimproved: | rural: 15.6% of population |
| unimproved: | total: 9.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 61.5% of population |
| Sanitation facility access: | rural: 55% of population |
| Sanitation facility access: | total: 58.9% of population |
| unimproved: | urban: 38.5% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 41.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.82% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 20,500 (2015 est.) |
| HIV/AIDS - deaths: | 1,000 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 9.1% (2014) |
| Children under the age of 5 years underweight: | 16.4% (2013) |
| Education expenditures: | 2.8% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 55.5% |
| Literacy: | male: 63.9% |
| Literacy: | female: 47.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2010) |
| Child labor - children ages 5-14: | total number: 103,389 |
| Child labor - children ages 5-14: | percentage: 25% (2006 est.) |
