| People and Society | GAMBIA, THE |
| Infant mortality rate: | total: 60.2 deaths/1,000 live births |
| Infant mortality rate: | male: 65.6 deaths/1,000 live births |
| Infant mortality rate: | female: 54.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 65.1 years |
| Life expectancy at birth: | male: 62.8 years |
| Life expectancy at birth: | female: 67.5 years (2017 est.) |
| Total fertility rate: | 3.52 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 9% (2013) |
| Health expenditures: | 7.3% of GDP (2014) |
| Physicians density: | 0.11 physicians/1,000 population (2008) |
| Hospital bed density: | 1.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.2% of population |
| Drinking water source: | rural: 84.4% of population |
| Drinking water source: | total: 90.2% of population |
| unimproved: | urban: 5.8% of population |
| unimproved: | rural: 15.6% of population |
| unimproved: | total: 9.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 61.5% of population |
| Sanitation facility access: | rural: 55% of population |
| Sanitation facility access: | total: 58.9% of population |
| unimproved: | urban: 38.5% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 41.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.7% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 20,000 (2016 est.) |
| HIV/AIDS - deaths: | 1,100 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 10.3% (2016) |
| Children under the age of 5 years underweight: | 16.4% (2013) |
| Education expenditures: | 2.8% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 55.5% |
| Literacy: | male: 63.9% |
| Literacy: | female: 47.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2010) |
| Unemployment, youth ages 15-24: | total: 44.3% |
| Unemployment, youth ages 15-24: | male: 38.1% |
| Unemployment, youth ages 15-24: | female: 49.5% (2012 est.) |
