| People and Society | KENYA |
| Infant mortality rate: | male: 41.5 deaths/1,000 live births |
| Infant mortality rate: | female: 32.7 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 64.3 years |
| Life expectancy at birth: | male: 62.8 years |
| Life expectancy at birth: | female: 65.8 years (2017 est.) |
| Total fertility rate: | 2.98 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 66.3% (2015) |
| Health expenditures: | 5.7% of GDP (2014) |
| Physicians density: | 0.2 physicians/1,000 population (2013) |
| Hospital bed density: | 1.4 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 81.6% of population |
| Drinking water source: | rural: 56.8% of population |
| Drinking water source: | total: 63.2% of population |
| unimproved: | urban: 18.4% of population |
| unimproved: | rural: 43.2% of population |
| unimproved: | total: 36.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 31.2% of population |
| Sanitation facility access: | rural: 29.7% of population |
| Sanitation facility access: | total: 30.1% of population |
| unimproved: | urban: 68.8% of population |
| unimproved: | rural: 70.3% of population |
| unimproved: | total: 69.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 5.4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.6 million (2016 est.) |
| HIV/AIDS - deaths: | 36,000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria, dengue fever, and Rift Valley fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 7.1% (2016) |
| Children under the age of 5 years underweight: | 11% (2014) |
| Education expenditures: | 5.3% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 78% |
| Literacy: | male: 81.1% |
| Literacy: | female: 74.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2009) |
