| People and Society | Malawi |
| Age structure: | 55-64 years: 2.98% (male 303,803/female 328,092) |
| Age structure: | 65 years and over: 2.68% (male 249,219/female 318,938) (2020 est.) |
| Dependency ratios: | total dependency ratio: 83.9 |
| Dependency ratios: | youth dependency ratio: 79.1 |
| Dependency ratios: | elderly dependency ratio: 4.9 |
| Dependency ratios: | potential support ratio: 20.6 (2020 est.) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.7 years |
| Median age: | female: 16.9 years (2020 est.) |
| Population growth rate: | 3.3% (2020 est.) |
| Birth rate: | 40.1 births/1,000 population (2020 est.) |
| Death rate: | 7.2 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population density is highest south of Lake Nyasa as shown in this population distribution map |
| Urbanization: | urban population: 17.4% of total population (2020) |
| Urbanization: | rate of urbanization: 4.19% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 1.122 million LILONGWE (capital), 932,000 Blantyre-Limbe (2020) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 0.99 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 18.9 years (2015/16 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 349 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 39.5 deaths/1,000 live births |
| Infant mortality rate: | male: 45.8 deaths/1,000 live births |
| Infant mortality rate: | female: 33.2 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 63.2 years |
| Life expectancy at birth: | male: 61.2 years |
| Life expectancy at birth: | female: 65.3 years (2020 est.) |
| Total fertility rate: | 5.31 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 59.2% (2015/16) |
| Drinking water source: | improved: urban: 95.9% of population |
| Drinking water source: | rural: 87.3% of population |
| Drinking water source: | total: 88.7% of population |
| Drinking water source: | unimproved: urban: 4.1% of population |
| Drinking water source: | rural: 12.7% of population |
| Drinking water source: | total: 11.3% of population (2017 est.) |
| Current Health Expenditure: | 9.6% (2017) |
| Physicians density: | 0.02 physicians/1,000 population (2016) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 58.2% of population |
| Sanitation facility access: | rural: 35.9% of population |
| Sanitation facility access: | total: 39.6% of population |
| Sanitation facility access: | unimproved: urban: 41.8% of population |
| Sanitation facility access: | rural: 64.1% of population |
| Sanitation facility access: | total: 60.4% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 9.5% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.1 million (2019 est.) |
| HIV/AIDS - deaths: | 13,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Obesity - adult prevalence rate: | 5.8% (2016) |
| Children under the age of 5 years underweight: | 11.8% (2018) |
| Education expenditures: | 4.7% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 62.1% |
| Literacy: | male: 69.8% |
| Literacy: | female: 55.2% (2015) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
| Unemployment, youth ages 15-24: | total: 40.5% |
| Unemployment, youth ages 15-24: | male: 33.1% |
| Unemployment, youth ages 15-24: | female: 47.7% (2017 est.) |
