| People and Society | MALAWI |
| Life expectancy at birth: | female: 63.8 years (2017 est.) |
| Total fertility rate: | 5.49 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 59.2% (2015/16) |
| Health expenditures: | 11.4% of GDP (2014) |
| Physicians density: | 0.02 physicians/1,000 population (2009) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 95.7% of population |
| Drinking water source: | rural: 89.1% of population |
| Drinking water source: | total: 90.2% of population |
| unimproved: | urban: 4.3% of population |
| unimproved: | rural: 10.9% of population |
| unimproved: | total: 9.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 47.3% of population |
| Sanitation facility access: | rural: 39.8% of population |
| Sanitation facility access: | total: 41% of population |
| unimproved: | urban: 52.7% of population |
| unimproved: | rural: 60.2% of population |
| unimproved: | total: 59% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 9.2% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1 million (2016 est.) |
| HIV/AIDS - deaths: | 24,000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 5.8% (2016) |
| Children under the age of 5 years underweight: | 16.7% (2014) |
| Education expenditures: | 5.6% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 62.1% |
| Literacy: | male: 69.8% |
| Literacy: | female: 55.2% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
| Unemployment, youth ages 15-24: | total: 8.6% |
| Unemployment, youth ages 15-24: | male: 9.1% |
| Unemployment, youth ages 15-24: | female: 8.2% (2013 est.) |
