| People and Society | Peru |
| population pyramid: | total dependency ratio: 53.7 % |
| population pyramid: | youth dependency ratio: 43.6 % |
| population pyramid: | elderly dependency ratio: 10 % |
| population pyramid: | potential support ratio: 10 (2014 est.) |
| Median age: | total: 27 years |
| Median age: | male: 26.3 years |
| Median age: | female: 27.7 years (2014 est.) |
| Population growth rate: | 0.99% (2014 est.) |
| Birth rate: | 18.57 births/1,000 population (2014 est.) |
| Death rate: | 5.99 deaths/1,000 population (2014 est.) |
| Net migration rate: | -2.69 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 77.3% of total population (2011) |
| Urbanization: | rate of urbanization: 1.55% annual rate of change (2010-15 est.) |
| Major urban areas - population: | LIMA (capital) 9.13 million; Arequipa 804,000 (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.93 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.2 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2013 est.) |
| Maternal mortality rate: | 67 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 20.21 deaths/1,000 live births |
| Infant mortality rate: | male: 22.44 deaths/1,000 live births |
| Infant mortality rate: | female: 17.88 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 73.23 years |
| Life expectancy at birth: | male: 71.23 years |
| Life expectancy at birth: | female: 75.33 years (2014 est.) |
| Total fertility rate: | 2.22 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 68.9% (2011) |
| Health expenditures: | 4.8% of GDP (2011) |
| Physicians density: | 0.92 physicians/1,000 population (2009) |
| Hospital bed density: | 1.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 91.2% of population |
| Drinking water source: | rural: 71.6% of population |
| Drinking water source: | total: 86.8% of population |
| unimproved: | urban: 8.8% of population |
| unimproved: | rural: 28.4% of population |
| unimproved: | total: 13.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 81.2% of population |
| Sanitation facility access: | rural: 44.8% of population |
| Sanitation facility access: | total: 73.1% of population |
| unimproved: | urban: 18.8% of population |
| unimproved: | rural: 55.2% of population |
| unimproved: | total: 26.9% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 75,500 (2012 est.) |
| HIV/AIDS - deaths: | 4,100 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: dengue fever, malaria, and Bartonellosis (Oroya fever) (2013) |
| Obesity - adult prevalence rate: | 15.7% (2008) |
| Children under the age of 5 years underweight: | 4.5% (2008) |
| Education expenditures: | 2.8% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 89.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 84.6% (2007 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Child labor - children ages 5-14: | total number: 2,545,855 |
| Child labor - children ages 5-14: | percentage: 34 % |
| Child labor - children ages 5-14: | note: data represents children ages 5-17 (2007 est.) |
| Unemployment, youth ages 15-24: | total: 9.5% |
| Unemployment, youth ages 15-24: | male: 9.4% |
| Unemployment, youth ages 15-24: | female: 9.7% (2011) |
