| People and Society | MAURITANIA |
| Net migration rate: | -0.8 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | with most of the country being a desert, vast areas of the country, particularly in the central, northern, and eastern areas, are without sizeable population clusters; half the population lives in or around the coastal capital of Nouakchott; smaller clusters are found near the southern border with Mali and Senegal |
| Urbanization: | urban population: 61% of total population (2017) |
| Urbanization: | rate of urbanization: 3.2% annual rate of change (2015-20 est.) |
| Major urban areas - population: | NOUAKCHOTT (capital) 968,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.86 male(s)/female |
| Sex ratio: | 55-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.74 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2016 est.) |
| Maternal mortality rate: | 602 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 51.9 deaths/1,000 live births |
| Infant mortality rate: | male: 56.7 deaths/1,000 live births |
| Infant mortality rate: | female: 46.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 63.4 years |
| Life expectancy at birth: | male: 61.1 years |
| Life expectancy at birth: | female: 65.8 years (2017 est.) |
| Total fertility rate: | 3.86 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 17.8% (2015) |
| Health expenditures: | 3.8% of GDP (2014) |
| Physicians density: | 0.13 physicians/1,000 population (2009) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 58.4% of population |
| Drinking water source: | rural: 57.1% of population |
| Drinking water source: | total: 57.9% of population |
| unimproved: | urban: 41.6% of population |
| unimproved: | rural: 42.9% of population |
| unimproved: | total: 42.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 57.5% of population |
| Sanitation facility access: | rural: 13.8% of population |
| Sanitation facility access: | total: 40% of population |
| unimproved: | urban: 42.5% of population |
| unimproved: | rural: 86.2% of population |
| unimproved: | total: 60% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 11,000 (2016 est.) |
| HIV/AIDS - deaths: | <1000 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 12.7% (2016) |
| Children under the age of 5 years underweight: | 24.9% (2015) |
| Education expenditures: | 2.9% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 52.1% |
| Literacy: | male: 62.6% |
| Literacy: | female: 41.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2015) |
