| People and Society | Belize |
| Sex ratio: | total population: 1.03 male(s)/female (2013 est.) |
| Maternal mortality rate: | 53 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 20.82 deaths/1,000 live births |
| Infant mortality rate: | male: 23.3 deaths/1,000 live births |
| Infant mortality rate: | female: 18.23 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 68.4 years |
| Life expectancy at birth: | male: 66.75 years |
| Life expectancy at birth: | female: 70.13 years (2013 est.) |
| Total fertility rate: | 3.08 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 55.2% (2011) |
| Health expenditures: | 5.7% of GDP (2011) |
| Physicians density: | 0.83 physicians/1,000 population (2009) |
| Hospital bed density: | 1.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 2% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93% of population |
| Sanitation facility access: | rural: 87% of population |
| Sanitation facility access: | total: 90% of population |
| unimproved: | urban: 7% of population |
| unimproved: | rural: 13% of population |
| unimproved: | total: 10% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 2.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 4,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 33.7% (2008) |
| Children under the age of 5 years underweight: | 4.9% (2006) |
| Education expenditures: | 6.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 76.9% |
| Literacy: | male: 76.7% |
| Literacy: | female: 77.1% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2003) |
| Child labor - children ages 5-14: | total number: 27,751 |
| Child labor - children ages 5-14: | percentage: 40 % (2001 est.) |
| Unemployment, youth ages 15-24: | total: 19.5% |
| Unemployment, youth ages 15-24: | male: 13.8% |
| Unemployment, youth ages 15-24: | female: 28.8% (2005) |
