| People and Society | Belize |
| Sex ratio: | total population: 1.03 male(s)/female (2014 est.) |
| Maternal mortality rate: | 53 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 20.31 deaths/1,000 live births |
| Infant mortality rate: | male: 22.78 deaths/1,000 live births |
| Infant mortality rate: | female: 17.7 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 68.49 years |
| Life expectancy at birth: | male: 66.88 years |
| Life expectancy at birth: | female: 70.17 years (2014 est.) |
| Total fertility rate: | 3.02 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 55.2% (2011) |
| Health expenditures: | 5.7% of GDP (2011) |
| Physicians density: | 0.83 physicians/1,000 population (2009) |
| Hospital bed density: | 1.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98.4% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.3% of population |
| unimproved: | urban: 1.6% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0.7% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 94.2% of population |
| Sanitation facility access: | rural: 87.6% of population |
| Sanitation facility access: | total: 90.5% of population |
| unimproved: | urban: 5.8% of population |
| unimproved: | rural: 12.4% of population |
| unimproved: | total: 9.5% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,100 (2012 est.) |
| HIV/AIDS - deaths: | 100 (2012 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria (2013) |
| Obesity - adult prevalence rate: | 33.7% (2008) |
| Children under the age of 5 years underweight: | 6.2% (2011) |
| Education expenditures: | 6.6% of GDP (2010) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 76.9% |
| Literacy: | male: 76.7% |
| Literacy: | female: 77.1% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
| Child labor - children ages 5-14: | total number: 27,751 |
| Child labor - children ages 5-14: | percentage: 40 % (2001 est.) |
| Unemployment, youth ages 15-24: | total: 19.5% |
| Unemployment, youth ages 15-24: | male: 13.8% |
| Unemployment, youth ages 15-24: | female: 28.8% (2005) |
