| People and Society | Nigeria |
| Age structure: | 65 years and over: 3.26% (male 3,138,206 /female 3,494,524) (2018 est.) |
| Dependency ratios: | total dependency ratio: 88.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 83 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.4 (2015 est.) |
| Median age: | total: 18.3 years |
| Median age: | male: 18.1 years |
| Median age: | female: 18.6 years (2018 est.) |
| Population growth rate: | 2.54% (2018 est.) |
| Birth rate: | 35.2 births/1,000 population (2018 est.) |
| Death rate: | 9.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | largest population of any African nation; significant population clusters are scattered throughout the country, with the highest density areas being in the south and southwest |
| Urbanization: | urban population: 50.3% of total population (2018) |
| Urbanization: | rate of urbanization: 4.23% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 13.463 million Lagos, 3.82 million Kano, 3.383 million Ibadan, 2.919 million ABUJA (capital), 2.343 million Port Harcourt, 1.628 million Benin City (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.95 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.91 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.04 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 20.3 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 814 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 63.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 69.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 57.3 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 59.3 years (2018 est.) |
| Life expectancy at birth: | male: 57.5 years (2018 est.) |
| Life expectancy at birth: | female: 61.1 years (2018 est.) |
| Total fertility rate: | 4.85 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 13.4% (2016/17) |
| Health expenditures: | 3.7% of GDP (2014) |
| Physicians density: | 0.38 physicians/1,000 population (2009) |
| Drinking water source: | improved: urban: 80.8% of population |
| Drinking water source: | rural: 57.3% of population |
| Drinking water source: | total: 68.5% of population |
| Drinking water source: | unimproved: urban: 19.2% of population |
| Drinking water source: | rural: 42.7% of population |
| Drinking water source: | total: 31.5% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 32.8% of population (2015 est.) |
| Sanitation facility access: | rural: 25.4% of population (2015 est.) |
| Sanitation facility access: | total: 29% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 67.2% of population (2015 est.) |
| Sanitation facility access: | rural: 74.6% of population (2015 est.) |
| Sanitation facility access: | total: 71% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.8% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3.1 million (2017 est.) |
| HIV/AIDS - deaths: | 150,000 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever (2016) |
| Major infectious diseases: | water contact diseases: leptospirosis and schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Major infectious diseases: | aerosolized dust or soil contact diseases: Lassa fever (2016) |
| Obesity - adult prevalence rate: | 8.9% (2016) |
| Children under the age of 5 years underweight: | 31.5% (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 59.6% (2015 est.) |
| Literacy: | male: 69.2% (2015 est.) |
| Literacy: | female: 49.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years (2011) |
| School life expectancy (primary to tertiary education): | male: 9 years (2011) |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Unemployment, youth ages 15-24: | total: 12.4% (2016 est.) |
| Unemployment, youth ages 15-24: | male: NA (2016 est.) |
| Unemployment, youth ages 15-24: | female: NA (2016 est.) |
