| People and Society | Nigeria |
| Age structure: | 65 years and over: 3.26% (male 3,138,206 /female 3,494,524) (2018 est.) |
| Dependency ratios: | total dependency ratio: 88.2 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 83 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 5.1 (2015 est.) |
| Dependency ratios: | potential support ratio: 19.4 (2015 est.) |
| Median age: | total: 18.3 years (2018 est.) |
| Median age: | male: 18.1 years |
| Median age: | female: 18.6 years |
| Population growth rate: | 2.54% (2018 est.) |
| Birth rate: | 35.2 births/1,000 population (2018 est.) |
| Death rate: | 9.6 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.2 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | largest population of any African nation; significant population clusters are scattered throughout the country, with the highest density areas being in the south and southwest |
| Urbanization: | urban population: 51.2% of total population (2019) |
| Urbanization: | rate of urbanization: 4.23% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 13.904 million Lagos, 3.906 million Kano, 3.464 million Ibadan, 3.095 million ABUJA (capital), 2.873 million Port Harcourt, 1.676 million Benin City (2019) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 20.3 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 917 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 63.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 69.1 deaths/1,000 live births |
| Infant mortality rate: | female: 57.3 deaths/1,000 live births |
| Life expectancy at birth: | total population: 59.3 years (2018 est.) |
| Life expectancy at birth: | male: 57.5 years |
| Life expectancy at birth: | female: 61.1 years |
| Total fertility rate: | 4.85 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 27.6% (2018) |
| Drinking water source: | improved: urban: 80.8% of population |
| Drinking water source: | rural: 57.3% of population |
| Drinking water source: | total: 68.5% of population |
| Drinking water source: | unimproved: urban: 19.2% of population |
| Drinking water source: | rural: 42.7% of population |
| Drinking water source: | total: 31.5% of population (2015 est.) |
| Current Health Expenditure: | 3.6% (2016) |
| Physicians density: | 0.38 physicians/1,000 population (2013) |
| Sanitation facility access: | improved: urban: 32.8% of population (2015 est.) |
| Sanitation facility access: | rural: 25.4% of population (2015 est.) |
| Sanitation facility access: | total: 29% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 67.2% of population (2015 est.) |
| Sanitation facility access: | rural: 74.6% of population (2015 est.) |
| Sanitation facility access: | total: 71% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.5% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.9 million (2018 est.) |
| HIV/AIDS - deaths: | 53,200 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever (2016) |
| Major infectious diseases: | water contact diseases: leptospirosis and schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Major infectious diseases: | aerosolized dust or soil contact diseases: Lassa fever (2016) |
| Major infectious diseases: | note - on 7 October 2019, the Centers for Disease Control and Prevention issued a Travel Health Notice for a Yellow Fever outbreak in Nigeria;Â a large, ongoing outbreak of yellow fever in Nigeria began in September 2017; the outbreak is now spread throughout the country with the Nigerian Ministry of Health reporting cases of the disease in all 36 states and the Federal Capital Territory; the CDC recommends travelers going to Nigeria should receive vaccination against yellow fever at least 10 days before travel and should take steps to prevent mosquito bites while there; those never vaccinated against yellow fever should avoid travel to Nigeria during the outbreak |
| Obesity - adult prevalence rate: | 8.9% (2016) |
| Children under the age of 5 years underweight: | 31.5% (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 59.6% |
| Literacy: | male: 69.2% |
| Literacy: | female: 49.7% (2015) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2011) |
| Unemployment, youth ages 15-24: | total: 12.4% |
| Unemployment, youth ages 15-24: | male: NA |
| Unemployment, youth ages 15-24: | female: NA (2016 est.) |
