| People and Society | Uganda |
| Demographic profile: | Uganda has been both a source of refugees and migrants and a host country for refugees. In 1972, then President Idi AMIN, in his drive to return Uganda to Ugandans, expelled the South Asian population that composed a large share of the countryâ€™s business people and bankers. Since the 1970s, thousands of Ugandans have emigrated, mainly to southern Africa or the West, for security reasons, to escape poverty, to search for jobs, and for access to natural resources. The emigration of Ugandan doctors and nurses due to low wages is a particular concern given the countryâ€™s shortage of skilled health care workers. Africans escaping conflicts in neighboring states have found refuge in Uganda since the 1950s; the country currently struggles to host tens of thousands from the Democratic Republic of the Congo, South Sudan, and other nearby countries. |
| Age structure: | 0-14 years: 48.21% (male 10,548,913/female 10,304,876) |
| Age structure: | 15-24 years: 20.25% (male 4,236,231/female 4,521,698) |
| Age structure: | 25-54 years: 26.24% (male 5,202,570/female 6,147,304) |
| Age structure: | 55-64 years: 2.91% (male 579,110/female 681,052) |
| Age structure: | 65 years and over: 2.38% (male 442,159/female 589,053) (2020 est.) |
| Dependency ratios: | total dependency ratio: 92.3 |
| Dependency ratios: | youth dependency ratio: 88.5 |
| Dependency ratios: | elderly dependency ratio: 3.8 |
| Dependency ratios: | potential support ratio: 26.2 (2020 est.) |
| Median age: | total: 15.7 years |
| Median age: | male: 14.9 years |
| Median age: | female: 16.5 years (2020 est.) |
| Population growth rate: | 3.34% (2020 est.) |
| Birth rate: | 42.3 births/1,000 population (2020 est.) |
| Death rate: | 5.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | -3.5 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | population density is relatively high in comparison to other African nations; most of the population is concentrated in the central and southern parts of the country, particularly along the shores of Lake Victoria and Lake Albert; the northeast is least populated as shown in this population distribution map |
| Urbanization: | urban population: 25% of total population (2020) |
| Urbanization: | rate of urbanization: 5.7% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 3.298 million KAMPALA (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.85 male(s)/female |
| Sex ratio: | 55-64 years: 0.85 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 18.9 years (2011 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 375 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 32.6 deaths/1,000 live births |
| Infant mortality rate: | male: 36.1 deaths/1,000 live births |
| Infant mortality rate: | female: 28.9 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 68.2 years |
| Life expectancy at birth: | male: 66 years |
| Life expectancy at birth: | female: 70.5 years (2020 est.) |
| Total fertility rate: | 5.54 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 41.8% (2018) |
| Drinking water source: | improved: urban: 92.9% of population |
| Drinking water source: | rural: 77.2% of population |
| Drinking water source: | total: 80.8% of population |
| Drinking water source: | unimproved: urban: 7.1% of population |
| Drinking water source: | rural: 22.8% of population |
| Drinking water source: | total: 19.2% of population (2017 est.) |
| Current Health Expenditure: | 6.3% (2017) |
| Physicians density: | 0.17 physicians/1,000 population (2017) |
| Hospital bed density: | 0.5 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 67.8% of population |
| Sanitation facility access: | rural: 26.6% of population |
| Sanitation facility access: | total: 36.2% of population |
| Sanitation facility access: | unimproved: urban: 32.2% of population |
| Sanitation facility access: | rural: 73.4% of population |
| Sanitation facility access: | total: 63.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 6.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.5 million (2019 est.) |
| HIV/AIDS - deaths: | 21,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and Trypanosomiasis-Gambiense (African sleeping sickness) |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Obesity - adult prevalence rate: | 5.3% (2016) |
| Children under the age of 5 years underweight: | 10.4% (2016) |
| Education expenditures: | 2.1% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 76.5% |
| Literacy: | male: 82.7% |
| Literacy: | female: 70.8% (2018) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2011) |
| Unemployment, youth ages 15-24: | total: 14.8% |
| Unemployment, youth ages 15-24: | male: 12.7% |
| Unemployment, youth ages 15-24: | female: 17.3% (2017 est.) |
