| People and Society | Philippines |
| Drinking water source: | improved: urban: 97.7% of population |
| Drinking water source: | rural: 92.7% of population |
| Drinking water source: | total: 95.4% of population |
| Drinking water source: | unimproved: urban: 2.3% of population |
| Drinking water source: | rural: 7.3% of population |
| Drinking water source: | total: 4.6% of population (2017 est.) |
| Current Health Expenditure: | 4.4% (2017) |
| Physicians density: | 0.6 physicians/1,000 population (2017) |
| Hospital bed density: | 1 beds/1,000 population (2014) |
| Sanitation facility access: | improved: urban: 95% of population |
| Sanitation facility access: | rural: 88.2% of population |
| Sanitation facility access: | total: 91.4% of population |
| Sanitation facility access: | unimproved: urban: 5% of population |
| Sanitation facility access: | rural: 11.8% of population |
| Sanitation facility access: | total: 8.6% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 97,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,600 (2019 est.) |
| Major infectious diseases: | degree of risk: high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria |
| Major infectious diseases: | water contact diseases: leptospirosis |
| Major infectious diseases: | note - on 8 October 2019, the Centers for Disease Control and Prevention issued a Travel Health Notice regarding aÂ polio outbreak in the Philippines; CDC recommends that all travelers toÂ the PhilippinesÂ be vaccinated fully against polio; before traveling to the Philippines, adults who completed their routine polio vaccine series as children should receive a single, lifetime adult booster dose of polio vaccine |
| Obesity - adult prevalence rate: | 6.4% (2016) |
| Children under the age of 5 years underweight: | 19.1% (2018) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.2% |
| Literacy: | male: 98.1% |
| Literacy: | female: 98.2% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2017) |
| Unemployment, youth ages 15-24: | total: 6.7% |
| Unemployment, youth ages 15-24: | male: 5.8% |
| Unemployment, youth ages 15-24: | female: 8.2% (2018 est.) |
| People - note: | one of only two predominantly Christian nations in Southeast Asia, the other being Timor-Leste |
