| People and Society | Djibouti |
| Birth rate: | 23.3 births/1,000 population (2018 est.) |
| Death rate: | 7.5 deaths/1,000 population (2018 est.) |
| Net migration rate: | 5.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most densely populated areas are in the east; the largest city is Djibouti, with a population over 600,000; no other city in the country has a total population over 50,000 |
| Urbanization: | urban population: 77.8% of total population (2018) |
| Urbanization: | rate of urbanization: 1.67% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 562,000 DJIBOUTI (capital) (2018) |
| Sex ratio: | at birth: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 0.89 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 0.71 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.85 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.82 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.84 male(s)/female (2017 est.) |
| Maternal mortality rate: | 229 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 44.3 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 50.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 37.5 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 64 years (2018 est.) |
| Life expectancy at birth: | male: 61.4 years (2018 est.) |
| Life expectancy at birth: | female: 66.6 years (2018 est.) |
| Total fertility rate: | 2.27 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 19% (2012) |
| Health expenditures: | 10.6% of GDP (2014) |
| Physicians density: | 0.23 physicians/1,000 population (2014) |
| Hospital bed density: | 1.4 beds/1,000 population (2014) |
| Drinking water source: | improved: urban: 97.4% of population |
| Drinking water source: | rural: 64.7% of population |
| Drinking water source: | total: 90% of population |
| Drinking water source: | unimproved: urban: 2.6% of population |
| Drinking water source: | rural: 35.3% of population |
| Drinking water source: | total: 10% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 59.8% of population (2015 est.) |
| Sanitation facility access: | rural: 5.1% of population (2015 est.) |
| Sanitation facility access: | total: 47.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 40.2% of population (2015 est.) |
| Sanitation facility access: | rural: 94.9% of population (2015 est.) |
| Sanitation facility access: | total: 52.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 9,100 (2017 est.) |
| HIV/AIDS - deaths: | <1000 (2017 est.) |
| Major infectious diseases: | degree of risk: high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever (2016) |
| Obesity - adult prevalence rate: | 13.5% (2016) |
| Children under the age of 5 years underweight: | 29.8% (2012) |
| Education expenditures: | 4.5% of GDP (2010) |
| School life expectancy (primary to tertiary education): | total: 6 years (2011) |
| School life expectancy (primary to tertiary education): | male: 7 years (2011) |
| School life expectancy (primary to tertiary education): | female: 6 years (2011) |
