| People and Society | Paraguay |
| Dependency ratios: | elderly dependency ratio: 9.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 10.6 (2015 est.) |
| Median age: | total: 28.7 years |
| Median age: | male: 28.5 years |
| Median age: | female: 28.9 years (2018 est.) |
| Population growth rate: | 1.17% (2018 est.) |
| Birth rate: | 16.6 births/1,000 population (2018 est.) |
| Death rate: | 4.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | most of the population resides in the eastern half of the country; to the west lies the Gran Chaco (a semi-arid lowland plain), which accounts for 60% of the land territory, but only 2% of the overall population |
| Urbanization: | urban population: 61.6% of total population (2018) |
| Urbanization: | rate of urbanization: 1.71% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 3.222 million ASUNCION (capital) (2018) |
| Sex ratio: | at birth: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.01 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 1.04 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.88 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.01 male(s)/female (2017 est.) |
| Mother's mean age at first birth: | 22.9 years (2008 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 132 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 18.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 21.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 14.7 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 77.6 years (2018 est.) |
| Life expectancy at birth: | male: 74.9 years (2018 est.) |
| Life expectancy at birth: | female: 80.4 years (2018 est.) |
| Total fertility rate: | 1.9 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 68.4% (2016) |
| Health expenditures: | 9.8% of GDP (2014) |
| Physicians density: | 1.29 physicians/1,000 population (2012) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 94.9% of population |
| Drinking water source: | total: 98% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 5.1% of population |
| Drinking water source: | total: 2% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 95.5% of population (2015 est.) |
| Sanitation facility access: | rural: 78.4% of population (2015 est.) |
| Sanitation facility access: | total: 88.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 4.5% of population (2015 est.) |
| Sanitation facility access: | rural: 21.6% of population (2015 est.) |
| Sanitation facility access: | total: 11.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 20,000 (2017 est.) |
| HIV/AIDS - deaths: | <1000 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 20.3% (2016) |
| Children under the age of 5 years underweight: | 1.3% (2016) |
| Education expenditures: | 5% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 95.1% (2015 est.) |
| Literacy: | male: 95.8% (2015 est.) |
| Literacy: | female: 94.3% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years (2010) |
| School life expectancy (primary to tertiary education): | male: 12 years (2010) |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Unemployment, youth ages 15-24: | total: 20.8% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 16.9% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 25.5% (2016 est.) |
