| People and Society | Paraguay |
| Age structure: | 65 years and over: 7.35% (male 242,783 /female 273,550) (2018 est.) |
| Dependency ratios: | total dependency ratio: 56.6 (2015 est.) |
| Dependency ratios: | youth dependency ratio: 47.2 (2015 est.) |
| Dependency ratios: | elderly dependency ratio: 9.4 (2015 est.) |
| Dependency ratios: | potential support ratio: 10.6 (2015 est.) |
| Median age: | total: 28.7 years (2018 est.) |
| Median age: | male: 28.5 years |
| Median age: | female: 28.9 years |
| Population growth rate: | 1.17% (2018 est.) |
| Birth rate: | 16.6 births/1,000 population (2018 est.) |
| Death rate: | 4.8 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | most of the population resides in the eastern half of the country; to the west lies the Gran Chaco (a semi-arid lowland plain), which accounts for 60% of the land territory, but only 2% of the overall population |
| Urbanization: | urban population: 61.9% of total population (2019) |
| Urbanization: | rate of urbanization: 1.71% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 3.279 million ASUNCION (capital) (2019) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2018 est.) |
| Mother's mean age at first birth: | 22.9 years (2008 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 84 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 18.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 21.4 deaths/1,000 live births |
| Infant mortality rate: | female: 14.7 deaths/1,000 live births |
| Life expectancy at birth: | total population: 77.6 years (2018 est.) |
| Life expectancy at birth: | male: 74.9 years |
| Life expectancy at birth: | female: 80.4 years |
| Total fertility rate: | 1.9 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 68.4% (2016) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 94.9% of population |
| Drinking water source: | total: 98% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 5.1% of population |
| Drinking water source: | total: 2% of population (2015 est.) |
| Current Health Expenditure: | 8% (2016) |
| Physicians density: | 1.37 physicians/1,000 population (2018) |
| Hospital bed density: | 1.3 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 95.5% of population (2015 est.) |
| Sanitation facility access: | rural: 78.4% of population (2015 est.) |
| Sanitation facility access: | total: 88.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 4.5% of population (2015 est.) |
| Sanitation facility access: | rural: 21.6% of population (2015 est.) |
| Sanitation facility access: | total: 11.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.5% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 21,000 (2018 est.) |
| HIV/AIDS - deaths: | <1000 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: dengue fever (2016) |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus |
| Obesity - adult prevalence rate: | 20.3% (2016) |
| Children under the age of 5 years underweight: | 1.3% (2016) |
| Education expenditures: | 3.4% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.7% |
| Literacy: | male: 95.5% |
| Literacy: | female: 93.8% (2016) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2010) |
| Unemployment, youth ages 15-24: | total: 14.5% |
| Unemployment, youth ages 15-24: | male: 11.8% |
| Unemployment, youth ages 15-24: | female: 18.7% (2018 est.) |
