| People and Society | COTE D'IVOIRE |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 54.2% of total population (2015) |
| Urbanization: | rate of urbanization: 3.69% annual rate of change (2010-15 est.) |
| Major urban areas - population: | YAMOUSSOUKRO (capital) 259,000 (2014); ABIDJAN (seat of government) 4.86 million; Bouake 762,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.93 male(s)/female |
| Sex ratio: | total population: 1.02 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 19.8 |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 (2011/12 est.) |
| Maternal mortality rate: | 645 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 57.2 deaths/1,000 live births |
| Infant mortality rate: | male: 63.1 deaths/1,000 live births |
| Infant mortality rate: | female: 51.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 58.7 years |
| Life expectancy at birth: | male: 57.5 years |
| Life expectancy at birth: | female: 59.9 years (2016 est.) |
| Total fertility rate: | 3.46 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 18.2% (2011/12) |
| Health expenditures: | 5.7% of GDP (2014) |
| Physicians density: | 0.14 physicians/1,000 population (2008) |
| Hospital bed density: | 0.4 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 93.1% of population |
| Drinking water source: | rural: 68.8% of population |
| Drinking water source: | total: 81.9% of population |
| unimproved: | urban: 6.9% of population |
| unimproved: | rural: 31.2% of population |
| unimproved: | total: 18.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 32.8% of population |
| Sanitation facility access: | rural: 10.3% of population |
| Sanitation facility access: | total: 22.5% of population |
| unimproved: | urban: 67.2% of population |
| unimproved: | rural: 89.7% of population |
| unimproved: | total: 77.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 3.17% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 464,700 (2015 est.) |
| HIV/AIDS - deaths: | 25,100 (2015 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 8% (2014) |
| Children under the age of 5 years underweight: | 15.7% (2012) |
| Education expenditures: | 4.7% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 43.1% |
| Literacy: | male: 53.1% |
| Literacy: | female: 32.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2014) |
| Child labor - children ages 5-14: | total number: 1,796,802 |
| Child labor - children ages 5-14: | percentage: 35% (2006 est.) |
