| People and Society | Cote d'Ivoire |
| HIV/AIDS - deaths: | 16,000 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 10.3% (2016) |
| Children under the age of 5 years underweight: | 12.8% (2016) |
| Education expenditures: | 5.1% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 43.1% |
| Literacy: | male: 53.1% |
| Literacy: | female: 32.5% (2015) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2016) |
| Unemployment, youth ages 15-24: | total: 3.9% |
| Unemployment, youth ages 15-24: | male: 2.8% |
| Unemployment, youth ages 15-24: | female: 5.1% (2016 est.) |
