| People and Society | Mauritania |
| Median age: | female: 22 years (2020 est.) |
| Population growth rate: | 2.09% (2020 est.) |
| Birth rate: | 29 births/1,000 population (2020 est.) |
| Death rate: | 7.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.8 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | with most of the country being a desert, vast areas of the country, particularly in the central, northern, and eastern areas, are without sizeable population clusters; half the population lives in or around the coastal capital of Nouakchott; smaller clusters are found near the southern border with Mali and Senegal as shown in this population distribution map |
| Urbanization: | urban population: 55.3% of total population (2020) |
| Urbanization: | rate of urbanization: 4.28% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 1.315 million NOUAKCHOTT (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.96 male(s)/female |
| Sex ratio: | 25-54 years: 0.87 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.93 male(s)/female (2020 est.) |
| Maternal mortality rate: | 766 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 47.9 deaths/1,000 live births |
| Infant mortality rate: | male: 52.5 deaths/1,000 live births |
| Infant mortality rate: | female: 43.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 64.5 years |
| Life expectancy at birth: | male: 62.1 years |
| Life expectancy at birth: | female: 67 years (2020 est.) |
| Total fertility rate: | 3.65 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 17.8% (2015) |
| Drinking water source: | improved: urban: 98.7% of population |
| Drinking water source: | rural: 68.4% of population |
| Drinking water source: | total: 84.4% of population |
| Drinking water source: | unimproved: urban: 1.3% of population |
| Drinking water source: | rural: 31.6% of population |
| Drinking water source: | total: 15.6% of population (2017 est.) |
| Current Health Expenditure: | 4.4% (2017) |
| Physicians density: | 0.18 physicians/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 83.5% of population |
| Sanitation facility access: | rural: 25.2% of population |
| Sanitation facility access: | total: 56% of population |
| Sanitation facility access: | unimproved: urban: 16.5% of population |
| Sanitation facility access: | rural: 74.8% of population |
| Sanitation facility access: | total: 44% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.2% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5,700 (2019 est.) |
| HIV/AIDS - deaths: | <500 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 12.7% (2016) |
| Children under the age of 5 years underweight: | 19.2% (2018) |
| Education expenditures: | 1.9% of GDP (2019) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 53.5% |
| Literacy: | male: 63.7% |
| Literacy: | female: 43.4% (2017) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2019) |
| Unemployment, youth ages 15-24: | total: 15.2% |
| Unemployment, youth ages 15-24: | male: 14.1% |
| Unemployment, youth ages 15-24: | female: 17% (2012 est.) |
