| People and Society | Togo |
| Drinking water source: | rural: 55.8% of population |
| Drinking water source: | total: 36.9% of population (2015 est.) |
| Current Health Expenditure: | 6.6% (2016) |
| Physicians density: | 0.05 physicians/1,000 population (2015) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 24.7% of population (2015 est.) |
| Sanitation facility access: | rural: 2.9% of population (2015 est.) |
| Sanitation facility access: | total: 11.6% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 75.3% of population (2015 est.) |
| Sanitation facility access: | rural: 97.1% of population (2015 est.) |
| Sanitation facility access: | total: 88.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 2.3% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2018 est.) |
| HIV/AIDS - deaths: | 3,800 (2018 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 8.4% (2016) |
| Children under the age of 5 years underweight: | 16.1% (2014) |
| Education expenditures: | 5% of GDP (2016) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 63.7% |
| Literacy: | male: 77.3% |
| Literacy: | female: 51.2% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 14 years NA |
| School life expectancy (primary to tertiary education): | female: 11 years NA (2017) |
| Unemployment, youth ages 15-24: | total: 3.9% |
| Unemployment, youth ages 15-24: | male: 3.7% |
| Unemployment, youth ages 15-24: | female: 4.1% (2015 est.) |
