| People and Society | Togo |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.76 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 21 years (2013/14 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 396 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 38.5 deaths/1,000 live births |
| Infant mortality rate: | male: 44.5 deaths/1,000 live births |
| Infant mortality rate: | female: 32.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 66.6 years |
| Life expectancy at birth: | male: 63.9 years |
| Life expectancy at birth: | female: 69.3 years (2020 est.) |
| Total fertility rate: | 4.22 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 23.9% (2017) |
| Drinking water source: | improved: urban: 92.3% of population |
| Drinking water source: | rural: 56% of population |
| Drinking water source: | total: 70.9% of population |
| Drinking water source: | unimproved: urban: 7.7% of population |
| Drinking water source: | rural: 44% of population |
| Drinking water source: | total: 29.1% of population (2017 est.) |
| Current Health Expenditure: | 6.2% (2017) |
| Physicians density: | 0.03 physicians/1,000 population (2017) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 80.4% of population (2015 est.) |
| Sanitation facility access: | rural: 16.2% of population |
| Sanitation facility access: | total: 41.6% of population |
| Sanitation facility access: | unimproved: urban: 19.6% of population |
| Sanitation facility access: | rural: 83.8% of population |
| Sanitation facility access: | total: 57.4% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 2.3% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 120,000 (2019 est.) |
| HIV/AIDS - deaths: | 3,000 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria, dengue fever, and yellow fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 8.4% (2016) |
| Children under the age of 5 years underweight: | 15.2% (2017) |
| Education expenditures: | 5.4% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 63.7% |
| Literacy: | male: 77.3% |
| Literacy: | female: 51.2% (2015) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 14 years NA |
| School life expectancy (primary to tertiary education): | female: 12 years NA (2017) |
| Unemployment, youth ages 15-24: | total: 3.9% |
| Unemployment, youth ages 15-24: | male: 3.7% |
| Unemployment, youth ages 15-24: | female: 4.1% (2015 est.) |
