| People and Society | WORLD |
| Population growth rate: | note: this rate results in about 148 net additions to the worldwide population every minute or 2.5 every second (2016 est.) |
| Birth rate: | 18.5 births/1,000 population |
| Birth rate: | note: this rate results in about 258 worldwide births per minute or 4.3 births every second (2016 est.) |
| Death rate: | 7.8 deaths/1,000 population |
| Death rate: | note: this rate results in about 108 worldwide deaths per minute or 1.8 deaths every second (2016 est.) |
| Urbanization: | urban population: 54% of total population (2015) |
| Urbanization: | rate of urbanization: 2.05% annual rate of change (2010-15 est.) |
| Urbanization: | ten largest urban agglomerations: Tokyo (Japan) - 38,001,000; New Delhi (India) - 25,703,000; Shanghai (China) - 23,741,000; Sao Paulo (Brazil) - 21,066,000; Mumbai (India) - 21,043,000; Mexico City (Mexico) - 20,999,000; Beijing (China) - 20,384,000; Osaka (Japan) - 20,238,000; Cairo (Egypt) - 18,772,000; New York-Newark (US) - 18,593,000 (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.805 male(s)/female |
| Sex ratio: | total population: 1.015 male(s)/female (2016 est.) |
| Maternal mortality rate: | 216 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 34.1 deaths/1,000 live births |
| Infant mortality rate: | male: 36.1 deaths/1,000 live births |
| Infant mortality rate: | female: 32.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 69 years |
| Life expectancy at birth: | male: 67 years |
| Life expectancy at birth: | female: 71.1 years (2016 est.) |
| Total fertility rate: | 2.42 children born/woman (2016 est.) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.5% of population |
| Drinking water source: | rural: 84.7% of population |
| Drinking water source: | total: 91.1% of population |
| unimproved: | urban: 3.5% of population |
| unimproved: | rural: 15.3% of population |
| unimproved: | total: 8.9% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 82.3% of population |
| Sanitation facility access: | rural: 50.5% of population |
| Sanitation facility access: | total: 67.7% of population |
| unimproved: | urban: 17.7% of population |
| unimproved: | rural: 49.5% of population |
| unimproved: | total: 32.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 36,710,700 (2015 est.) |
| HIV/AIDS - deaths: | 1,107,600 (2015 est.) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.1% |
| Literacy: | male: 89.9% |
| Literacy: | female: 82.2% (2015 est.) |
| Literacy: | note: more than three-quarters of the world's 781 million illiterate adults are found in South and West Asia and sub-Saharan Africa; of all the illiterate adults in the world, almost two-thirds are women (2012) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2014) |
