| People and Society | World |
| HIV/AIDS - deaths: | 770,000 (2018 est.) |
| Obesity - adult prevalence rate: | Education expenditures: |
| Obesity - adult prevalence rate: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.2% |
| Literacy: | male: 89.8% |
| Literacy: | female: 82.6% (2016 est.) |
| Literacy: | note: more than three-quarters of the world's 750 million illiterate adults are found in South Asia and sub-Saharan Africa; of all the illiterate adults in the world, almost two-thirds are women (2016) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2017) |
