| People and Society | World |
| Major urban areas - population: | ten largest urban agglomerations: Tokyo (Japan) - 37,393,000; New Delhi (India) - 30,291,000; Shanghai (China) - 27,058,000; Sao Paulo (Brazil) - 22,043,000; Mexico City (Mexico) - 21,782,000; Dhaka (Bangladesh) - 21,006,000; Cairo (Egypt) - 20,901,000; Beijing (China) - 20,463,000; Mumbai (India) - 20,411,000;Â  Osaka (Japan) - 19,165,000 (2020) |
| Major urban areas - population: | ten largest urban agglomerations, by continent: |
| Major urban areas - population: | Africa - Cairo (Egypt) - 20,485,000; Lagos (Nigeria) - 13,904,000; Kinshasha (DRC) - 13,743,000; Luanda (Angola) - 8,045,000; Dar Es Salaam (Tanzania) - 6,368,000; Khartoum (Sudan) - 5,678,000; Johannesburg (South Africa) - 5,635,000; Alexandria (Egypt) - 5,182,000; Abidjan (Cote d'Ivoire) - 5,059,000; Addis Ababa (Ethiopia) - 4,592,000 |
| Major urban areas - population: | Asia - Tokyo (Japan) - 37,435,000; New Delhi (India) - 29,399,000; Shanghai (China) - 26,317,000; Dhaka (Bangladesh) - 20,284,000; Mumbai (India) - 20,185,000; Beijing (China) - 20,035,000; Osaka (Japan) - 19,223,000; Karachi (Pakistan) - 15,741,000; Chongqing (China) - 15,354,000; Istanbul (Turkey) - 14,968,000 |
| Major urban areas - population: | Europe - Moscow (Russia) - 12,476,000; Paris (France) - 10,958,000; London (United Kingdom) - 9,177,000; Madrid (Spain) - 6,559,000; Barcelona (Spain) - 5,541,000, Saint Petersburg (Russia) -Â  5,427,000; Rome (Italy) - 4,234,000; Berlin (Germany) - 3,557,000; Athens (Greece) - 3,154,000; Milan (Italy) - 3,136,000 |
| Major urban areas - population: | North America - Mexico City (Mexico) - 21,672,000; New York-Newark (United States) - 18,805,000; Los Angeles-Long Beach-Santa Ana (United States) - 12,448,000; Chicago (United States) - 8,862,000; Houston (United States) - 6,245,000; Dallas-Fort Worth (United States) - 6,201,000; Toronto (Canada) - 6,139,000; Miami (United States) - 6,079,000; Philadelphia (United States) - 5,705,000; Atlanta (United States) - 5,689,000 |
| Major urban areas - population: | Oceania - Melbourne (Australia) - 4,870,000, Sydney (Australia) - 4,859,000; Brisbane (Australia) - 2,372,000; Perth (Australia) - 2,016,000; Auckland (New Zealand) - 1,582,000; Adelaide (Australia) - 1,328,000; Gold Coast-Tweed Head (Australia) - 687,000; Canberra (Australia) - 452,000; Newcastle-Maitland (Australia) - 447,000; Wellington (New Zealand) - 413,000 |
| Major urban areas - population: | South America - Sao Paulo (Brazil) - 21,847,000; Buenos Aires (Argentina) - 15,057,000; Rio de Janeiro (Brazil) - 13,374,000; Bogota (Colombia) - 10,779,000; Lima (Peru) - 10,555,000; Santiago (Chile) - 6,724,000; Belo Horizonte (Brazil) - 6,028,000; Brasilia (Brazil) - 4,559,000; Porto Alegre (Brazil) - 4,115,000; Recife (Brazil) - 4,078,000 (2019) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.07 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.96 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2020 est.) |
| Maternal mortality rate: | 211 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 30.8 deaths/1,000 live births |
| Infant mortality rate: | male: 32.8 deaths/1,000 live births |
| Infant mortality rate: | female: 28.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 70.5 years |
| Life expectancy at birth: | male: 68.4 years |
| Life expectancy at birth: | female: 72.6 years (2020 est.) |
| Total fertility rate: | 2.42 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 96.5% of population |
| Drinking water source: | rural: 84.7% of population |
| Drinking water source: | total: 91.1% of population |
| Drinking water source: | unimproved: urban: 3.5% of population |
| Drinking water source: | rural: 15.3% of population |
| Drinking water source: | total: 8.9% of population (2015 est.) |
| Current Health Expenditure: | 10% (2016) |
| Sanitation facility access: | improved: urban: 82.3% of population (2015 est.) |
| Sanitation facility access: | rural: 50.5% of population (2015 est.) |
| Sanitation facility access: | total: 67.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 17.7% of population (2015 est.) |
| Sanitation facility access: | rural: 49.5% of population (2015 est.) |
| Sanitation facility access: | total: 32.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 38 million (2019 est.) |
| HIV/AIDS - deaths: | 690,000 (2019 est.) |
| Major infectious diseases: | note: widespread ongoing transmission of a respiratory illness caused by the novel coronavirus (COVID-19) is occurring globally; older adults and people of any age with serious chronic medical conditions are at increased risk for severe disease; some health care systems are becoming overwhelmed and there may be limited access to adequate medical care in affected areas; many countries are implementing travel restrictions and mandatory quarantines, closing borders, and prohibiting non-citizens from entry with little advance notice; US residents may have difficulty returning to the United States; as of 8 December 2020, 65,872,391 confirmed cases of COVID-19 and 1,523,656 deaths have been reported to the World Health Organization |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.3% |
| Literacy: | male: 89.8% |
| Literacy: | female: 82.8% (2016 est.) (2018) |
| Literacy: | note: more than three-quarters of the world's 750 million illiterate adults are found in South Asia and sub-Saharan Africa; of all the illiterate adults in the world, almost two-thirds are women (2016) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 12 years (2019) |
