| People and Society | World |
| Death rate: | 7.7 deaths/1,000 population (2016 est.) |
| Death rate: | note: this rate results in about 108 worldwide deaths per minute or 1.8 deaths every second |
| Population distribution: | six of the world's seven continents are widely and permanently inhabited; Asia is easily the most populous continent with about 60% of the world's population (China and India together account for over 35%); Africa comes in second with over 15% of the earth's populace, Europe has about 10%, North America 8%, South America almost 6%, and Oceania less than 1%; the harsh conditions on Antarctica prevent any permanent habitation |
| Urbanization: | urban population: 55.3% of total population (2017) |
| Urbanization: | rate of urbanization: 1.9% annual rate of change (2017) |
| Urbanization: | ten largest urban agglomerations: Tokyo (Japan) - 38,241,000; New Delhi (India) - 27,197,000; Shanghai (China) - 25,202,000; Beijing (China) - 22,063,000; Mumbai (India) - 21,690,000; Sao Paulo (Brazil) - 21,519,000; Mexico City (Mexico) - 21,321,000; Osaka (Japan) - 20,415,000; Cairo (Egypt) - 19,486,000; Dhaka (Bangladesh) - 18,898,000 (2017) |
| Sex ratio: | at birth: 1.03 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.07 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.07 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1.02 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.95 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.81 male(s)/female (2017 est.) |
| Sex ratio: | total population: 1.02 male(s)/female (2017 est.) |
| Maternal mortality rate: | 216 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 32.9 deaths/1,000 live births (2017 est.) |
| Infant mortality rate: | male: 34.9 deaths/1,000 live births (2017 est.) |
| Infant mortality rate: | female: 30.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 69 years (2017 est.) |
| Life expectancy at birth: | male: 67 years (2017 est.) |
| Life expectancy at birth: | female: 71.1 years (2017 est.) |
| Total fertility rate: | 2.42 children born/woman (2017 est.) |
| Drinking water source: | improved: urban: 96.5% of population |
| Drinking water source: | rural: 84.7% of population |
| Drinking water source: | total: 91.1% of population |
| Drinking water source: | unimproved: urban: 3.5% of population |
| Drinking water source: | rural: 15.3% of population |
| Drinking water source: | total: 8.9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 82.3% of population (2015 est.) |
| Sanitation facility access: | rural: 50.5% of population (2015 est.) |
| Sanitation facility access: | total: 67.7% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 17.7% of population (2015 est.) |
| Sanitation facility access: | rural: 49.5% of population (2015 est.) |
| Sanitation facility access: | total: 32.3% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 36.9 million (2017 est.) |
| HIV/AIDS - deaths: | 940,000 (2017 est.) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.2% |
| Literacy: | male: 89.8% |
| Literacy: | female: 82.6% (2016 est.) |
| Literacy: | note: more than three-quarters of the world's 750 million illiterate adults are found in South Asia and sub-Saharan Africa; of all the illiterate adults in the world, almost two-thirds are women (2016) |
| School life expectancy (primary to tertiary education): | total: 12 years (2014) |
| School life expectancy (primary to tertiary education): | male: 12 years (2014) |
| School life expectancy (primary to tertiary education): | female: 12 years (2014) |
