| People and Society | Comoros |
| Urbanization: | urban population: 29.4% of total population (2020) |
| Urbanization: | rate of urbanization: 2.87% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 62,000 MORONI (capital) (2018) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.94 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 0.83 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 24.6 years (2012 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 273 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 55 deaths/1,000 live births |
| Infant mortality rate: | male: 64.8 deaths/1,000 live births |
| Infant mortality rate: | female: 45.1 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 65.7 years |
| Life expectancy at birth: | male: 63.3 years |
| Life expectancy at birth: | female: 68.1 years (2020 est.) |
| Total fertility rate: | 2.95 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 19.4% (2012) |
| Drinking water source: | improved: urban: 97.4% of population |
| Drinking water source: | rural: 88.5% of population |
| Drinking water source: | total: 91% of population |
| Drinking water source: | unimproved: urban: 2.6% of population |
| Drinking water source: | rural: 11.5% of population |
| Drinking water source: | total: 8.9% of population (2017 est.) |
| Current Health Expenditure: | 7.4% (2017) |
| Physicians density: | 0.27 physicians/1,000 population (2016) |
| Hospital bed density: | 2.2 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 62.4% of population |
| Sanitation facility access: | rural: 43.6% of population |
| Sanitation facility access: | total: 49% of population |
| Sanitation facility access: | unimproved: urban: 37.6% of population |
| Sanitation facility access: | rural: 56.4% of population |
| Sanitation facility access: | total: 51% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <200 (2019 est.) |
| HIV/AIDS - deaths: | <100 (2019 est.) |
| Obesity - adult prevalence rate: | 7.8% (2016) |
| Children under the age of 5 years underweight: | 16.9% (2012) |
| Education expenditures: | 2.5% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 58.8% |
| Literacy: | male: 64.6% |
| Literacy: | female: 53% (2018) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2014) |
| Unemployment, youth ages 15-24: | total: 19.5% |
| Unemployment, youth ages 15-24: | male: 20% |
| Unemployment, youth ages 15-24: | female: 18.8% (2018) |
