| People and Society | Comoros |
| Infant mortality rate: | male: 68.4 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 47.9 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 64.9 years (2018 est.) |
| Life expectancy at birth: | male: 62.6 years (2018 est.) |
| Life expectancy at birth: | female: 67.4 years (2018 est.) |
| Total fertility rate: | 3.21 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 19.4% (2012) |
| Health expenditures: | 6.7% of GDP (2014) |
| Hospital bed density: | 2.2 beds/1,000 population (2010) |
| Drinking water source: | improved: urban: 92.6% of population |
| Drinking water source: | rural: 89.1% of population |
| Drinking water source: | total: 90.1% of population |
| Drinking water source: | unimproved: urban: 7.4% of population |
| Drinking water source: | rural: 10.9% of population |
| Drinking water source: | total: 9.9% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 48.3% of population (2015 est.) |
| Sanitation facility access: | rural: 30.9% of population (2015 est.) |
| Sanitation facility access: | total: 35.8% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 51.7% of population (2015 est.) |
| Sanitation facility access: | rural: 69.1% of population (2015 est.) |
| Sanitation facility access: | total: 64.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2017 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <200 (2017 est.) |
| HIV/AIDS - deaths: | <100 (2017 est.) |
| Obesity - adult prevalence rate: | 7.8% (2016) |
| Children under the age of 5 years underweight: | 16.9% (2012) |
| Education expenditures: | 4.3% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 77.8% (2015 est.) |
| Literacy: | male: 81.8% (2015 est.) |
| Literacy: | female: 73.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years (2014) |
| School life expectancy (primary to tertiary education): | male: 11 years (2014) |
| School life expectancy (primary to tertiary education): | female: 11 years (2014) |
