| People and Society | Gambia, The |
| Net migration rate: | -1.6 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | settlements are found scattered along the Gambia River; the largest communities, including the capital of Banjul, and the country's largest city, Serekunda, are found at the mouth of the Gambia River along the Atlantic coast as shown in this population distribution map |
| Urbanization: | urban population: 62.6% of total population (2020) |
| Urbanization: | rate of urbanization: 4.07% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 451,000 BANJUL (capital) (2020) |
| Major urban areas - population: | note: includes the local government areas of Banjul and Kanifing |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.91 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 20.9 years (2013 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 597 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 54.9 deaths/1,000 live births |
| Infant mortality rate: | male: 60.1 deaths/1,000 live births |
| Infant mortality rate: | female: 49.6 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 65.8 years |
| Life expectancy at birth: | male: 63.5 years |
| Life expectancy at birth: | female: 68.3 years (2020 est.) |
| Total fertility rate: | 3.21 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 16.8% (2018) |
| Contraceptive prevalence rate: | note: percent of women aged 15-50 |
| Drinking water source: | improved: urban: 91.4% of population |
| Drinking water source: | rural: 80.4% of population |
| Drinking water source: | total: 87.1% of population |
| Drinking water source: | unimproved: urban: 8.6% of population |
| Drinking water source: | rural: 19.6% of population |
| Drinking water source: | total: 12.9% of population (2017 est.) |
| Current Health Expenditure: | 3.3% (2017) |
| Physicians density: | 0.1 physicians/1,000 population (2015) |
| Hospital bed density: | 1.1 beds/1,000 population (2011) |
| Sanitation facility access: | improved: urban: 80.4% of population |
| Sanitation facility access: | rural: 44.5% of population |
| Sanitation facility access: | total: 66.3% of population |
| Sanitation facility access: | unimproved: urban: 19.6% of population |
| Sanitation facility access: | rural: 55.5% of population |
| Sanitation facility access: | total: 33.7% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 2% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 28,000 (2019 est.) |
| HIV/AIDS - deaths: | 1,100 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 10.3% (2016) |
| Children under the age of 5 years underweight: | 10.3% (2018) |
| Education expenditures: | 2.4% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 50.8% |
| Literacy: | male: 61.8% |
| Literacy: | female: 41.6% (2015) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2010) |
| Unemployment, youth ages 15-24: | total: 13.1% |
| Unemployment, youth ages 15-24: | male: 9.1% |
| Unemployment, youth ages 15-24: | female: 17.2% (2012 est.) |
