| People and Society | Mali |
| Demographic profile: | Between early 2012 and 2013, renewed fighting in northern Mali between government forces and Tuareg secessionists and their Islamist allies, a French-led international military intervention, as well as chronic food shortages, caused the displacement of hundreds of thousands of Malians. Most of those displaced domestically sought shelter in urban areas of southern Mali, except for pastoralist and nomadic groups, who abandoned their traditional routes, gave away or sold their livestock, and dispersed into the deserts of northern Mali or crossed into neighboring countries. Almost all Malians who took refuge abroad (mostly Tuareg and Maure pastoralists) stayed in the region, largely in Mauritania, Niger, and Burkina Faso. |
| Age structure: | 0-14 years: 47.69% (male 4,689,121/female 4,636,685) |
| Age structure: | 15-24 years: 19% (male 1,768,772/female 1,945,582) |
| Age structure: | 25-54 years: 26.61% (male 2,395,566/female 2,806,830) |
| Age structure: | 55-64 years: 3.68% (male 367,710/female 352,170) |
| Age structure: | 65 years and over: 3.02% (male 293,560/female 297,401) (2020 est.) |
| Dependency ratios: | total dependency ratio: 98 |
| Dependency ratios: | youth dependency ratio: 93.1 |
| Dependency ratios: | elderly dependency ratio: 4.9 |
| Dependency ratios: | potential support ratio: 20.4 (2020 est.) |
| Median age: | total: 16 years |
| Median age: | male: 15.3 years |
| Median age: | female: 16.7 years (2020 est.) |
| Population growth rate: | 2.95% (2020 est.) |
| Birth rate: | 42.2 births/1,000 population (2020 est.) |
| Death rate: | 9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -3.9 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | the overwhelming majority of the population lives in the southern half of the country, with greater density along the border with Burkina Faso as shown in this population distribution map |
| Urbanization: | urban population: 43.9% of total population (2020) |
| Urbanization: | rate of urbanization: 4.86% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.618 million BAMAKO (capital) (2020) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.91 male(s)/female |
| Sex ratio: | 25-54 years: 0.85 male(s)/female |
| Sex ratio: | 55-64 years: 1.04 male(s)/female |
| Sex ratio: | 65 years and over: 0.99 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 18.9 years (2018 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 562 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 64 deaths/1,000 live births |
| Infant mortality rate: | male: 69.6 deaths/1,000 live births |
| Infant mortality rate: | female: 58.3 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 61.6 years |
| Life expectancy at birth: | male: 59.4 years |
| Life expectancy at birth: | female: 63.9 years (2020 est.) |
| Total fertility rate: | 5.72 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 17.2% (2018) |
| Drinking water source: | improved: urban: 97.1% of population |
| Drinking water source: | rural: 72.8% of population |
| Drinking water source: | total: 82.9% of population |
| Drinking water source: | unimproved: urban: 2.9% of population |
| Drinking water source: | rural: 27.2% of population |
| Drinking water source: | total: 17.1% of population (2017 est.) |
| Current Health Expenditure: | 3.8% (2017) |
| Physicians density: | 0.14 physicians/1,000 population (2016) |
| Hospital bed density: | 0.1 beds/1,000 population (2010) |
| Sanitation facility access: | improved: urban: 82.5% of population |
| Sanitation facility access: | rural: 34.1% of population |
| Sanitation facility access: | total: 54.2% of population |
| Sanitation facility access: | unimproved: urban: 17.5% of population |
| Sanitation facility access: | rural: 65.9% of population |
| Sanitation facility access: | total: 45.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 1.2% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 140,000 (2019 est.) |
| HIV/AIDS - deaths: | 5,800 (2019 est.) |
| Major infectious diseases: | degree of risk: very high (2020) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact diseases: schistosomiasis |
| Major infectious diseases: | animal contact diseases: rabies |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis |
| Obesity - adult prevalence rate: | 8.6% (2016) |
| Children under the age of 5 years underweight: | 18.6% (2018) |
| Education expenditures: | 3.8% of GDP (2017) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 35.5% |
| Literacy: | male: 46.2% |
| Literacy: | female: 25.7% (2018) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 7 years (2017) |
| Unemployment, youth ages 15-24: | total: 16.9% |
| Unemployment, youth ages 15-24: | male: 15.3% |
| Unemployment, youth ages 15-24: | female: 18.8% (2018 est.) |
