| People and Society | COSTA RICA |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.86 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2016 est.) |
| Maternal mortality rate: | 25 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 8 deaths/1,000 live births |
| Infant mortality rate: | male: 8.8 deaths/1,000 live births |
| Infant mortality rate: | female: 7.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.7 years |
| Life expectancy at birth: | male: 76.1 years |
| Life expectancy at birth: | female: 81.5 years (2017 est.) |
| Total fertility rate: | 1.89 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 76.2% (2011) |
| Health expenditures: | 9.3% of GDP (2014) |
| Physicians density: | 1.15 physicians/1,000 population (2013) |
| Hospital bed density: | 1.2 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.6% of population |
| Drinking water source: | rural: 91.9% of population |
| Drinking water source: | total: 97.8% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 8.1% of population |
| unimproved: | total: 2.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 95.2% of population |
| Sanitation facility access: | rural: 92.3% of population |
| Sanitation facility access: | total: 94.5% of population |
| unimproved: | urban: 4.8% of population |
| unimproved: | rural: 7.7% of population |
| unimproved: | total: 5.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 13,000 (2016 est.) |
| HIV/AIDS - deaths: | <500 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever |
| Major infectious diseases: | note: active local transmission of Zika virus by Aedes species mosquitoes has been identified in this country (as of August 2016); it poses an important risk (a large number of cases possible) among US citizens if bitten by an infective mosquito; other less common ways to get Zika are through sex, via blood transfusion, or during pregnancy, in which the pregnant woman passes Zika virus to her fetus (2016) |
| Obesity - adult prevalence rate: | 25.7% (2016) |
| Children under the age of 5 years underweight: | 1.1% (2008) |
| Education expenditures: | 7.6% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.8% |
| Literacy: | male: 97.7% |
| Literacy: | female: 97.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2015) |
| Unemployment, youth ages 15-24: | total: 23.3% |
| Unemployment, youth ages 15-24: | male: 18.8% |
| Unemployment, youth ages 15-24: | female: 31.7% (2016 est.) |
