| People and Society | South Africa |
| Median age: | male: 27.2 years |
| Median age: | female: 27.6 years |
| Population growth rate: | 0.97% (2018 est.) |
| Birth rate: | 19.9 births/1,000 population (2018 est.) |
| Death rate: | 9.3 deaths/1,000 population (2018 est.) |
| Net migration rate: | -0.9 migrant(s)/1,000 population (2018 est.) |
| Population distribution: | the population concentrated along the southern and southeastern coast, and inland around Pretoria; the eastern half of the country is more densly populated than the west |
| Urbanization: | urban population: 66.9% of total population (2019) |
| Urbanization: | rate of urbanization: 1.97% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 9.453 million Johannesburg (includes Ekurhuleni), 4.524 million Cape Town (legislative capital), 3.145 million Durban, 2.473 million PRETORIA (administrative capital), 1.242 million Port Elizabeth, 769,000 Vereeniging (2019) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1 male(s)/female |
| Sex ratio: | 15-24 years: 0.97 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.72 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2018 est.) |
| Maternal mortality rate: | 119 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 29.9 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 33.2 deaths/1,000 live births |
| Infant mortality rate: | female: 26.5 deaths/1,000 live births |
| Life expectancy at birth: | total population: 64.1 years (2018 est.) |
| Life expectancy at birth: | male: 62.7 years |
| Life expectancy at birth: | female: 65.6 years |
| Total fertility rate: | 2.26 children born/woman (2018 est.) |
| Contraceptive prevalence rate: | 54.6% (2016) |
| Drinking water source: | improved: urban: 99.6% of population |
| Drinking water source: | rural: 81.4% of population |
| Drinking water source: | total: 93.2% of population |
| Drinking water source: | unimproved: urban: 0.4% of population |
| Drinking water source: | rural: 18.6% of population |
| Drinking water source: | total: 6.8% of population (2015 est.) |
| Current Health Expenditure: | 8.1% (2016) |
| Physicians density: | 0.91 physicians/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 69.6% of population (2015 est.) |
| Sanitation facility access: | rural: 60.5% of population (2015 est.) |
| Sanitation facility access: | total: 66.4% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 30.4% of population (2015 est.) |
| Sanitation facility access: | rural: 39.5% of population (2015 est.) |
| Sanitation facility access: | total: 33.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 20.4% (2018 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7.7 million (2018 est.) |
| HIV/AIDS - deaths: | 71,000 (2018 est.) |
| Major infectious diseases: | degree of risk: intermediate (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 28.3% (2016) |
| Children under the age of 5 years underweight: | 5.9% (2016) |
| Education expenditures: | 6.2% of GDP (2018) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.4% |
| Literacy: | male: 95.4% |
| Literacy: | female: 93.4% (2015) |
| School life expectancy (primary to tertiary education): | total: 14 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2016) |
| Unemployment, youth ages 15-24: | total: 53.4% |
| Unemployment, youth ages 15-24: | male: 49.2% |
| Unemployment, youth ages 15-24: | female: 58.8% (2018 est.) |
