| People and Society | SOUTH AFRICA |
| Major urban areas - population: | Johannesburg (includes Ekurhuleni) 9.399 million; Cape Town (legislative capital) 3.66 million; Durban 2.901 million; PRETORIA (capital) 2.059 million; Port Elizabeth 1.179 million; Vereeniging 1.155 million (2015) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.87 male(s)/female |
| Sex ratio: | 65 years and over: 0.73 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Maternal mortality rate: | 138 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 31 deaths/1,000 live births |
| Infant mortality rate: | male: 34.4 deaths/1,000 live births |
| Infant mortality rate: | female: 27.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 63.8 years |
| Life expectancy at birth: | male: 62.4 years |
| Life expectancy at birth: | female: 65.3 years (2017 est.) |
| Total fertility rate: | 2.29 children born/woman (2017 est.) |
| Health expenditures: | 8.8% of GDP (2014) |
| Physicians density: | 0.77 physicians/1,000 population (2015) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.6% of population |
| Drinking water source: | rural: 81.4% of population |
| Drinking water source: | total: 93.2% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 18.6% of population |
| unimproved: | total: 6.8% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 69.6% of population |
| Sanitation facility access: | rural: 60.5% of population |
| Sanitation facility access: | total: 66.4% of population |
| unimproved: | urban: 30.4% of population |
| unimproved: | rural: 39.5% of population |
| unimproved: | total: 33.6% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 18.9% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 7.1 million (2016 est.) |
| HIV/AIDS - deaths: | 110,000 (2016 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | water contact disease: schistosomiasis (2016) |
| Obesity - adult prevalence rate: | 28.3% (2016) |
| Children under the age of 5 years underweight: | 8.7% (2008) |
| Education expenditures: | 6.1% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 94.4% |
| Literacy: | male: 95.4% |
| Literacy: | female: 93.4% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2012) |
| Unemployment, youth ages 15-24: | total: 50.1% |
| Unemployment, youth ages 15-24: | male: 46.3% |
| Unemployment, youth ages 15-24: | female: 54.9% (2015 est.) |
