| People and Society | Chad |
| HIV/AIDS - deaths: | 3,100 (2017 est.) |
| Major infectious diseases: | degree of risk: very high (2016) |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever (2016) |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever (2016) |
| Major infectious diseases: | water contact diseases: schistosomiasis (2016) |
| Major infectious diseases: | animal contact diseases: rabies (2016) |
| Major infectious diseases: | respiratory diseases: meningococcal meningitis (2016) |
| Obesity - adult prevalence rate: | 6.1% (2016) |
| Children under the age of 5 years underweight: | 28.8% (2015) |
| Education expenditures: | 2.9% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write French or Arabic (2016 est.) |
| Literacy: | total population: 22.3% (2016 est.) |
| Literacy: | male: 31.3% (2016 est.) |
| Literacy: | female: 14% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years (2011) |
| School life expectancy (primary to tertiary education): | male: 9 years (2011) |
| School life expectancy (primary to tertiary education): | female: 6 years (2011) |
