| People and Society | CHAD |
| Drinking water source: | total: 50.8% of population |
| unimproved: | urban: 28.2% of population |
| unimproved: | rural: 55.2% of population |
| unimproved: | total: 49.2% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 31.4% of population |
| Sanitation facility access: | rural: 6.5% of population |
| Sanitation facility access: | total: 12.1% of population |
| unimproved: | urban: 68.6% of population |
| unimproved: | rural: 93.5% of population |
| unimproved: | total: 87.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 110,000 (2016 est.) |
| HIV/AIDS - deaths: | 2,800 (2016 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2016) |
| Obesity - adult prevalence rate: | 6.1% (2016) |
| Children under the age of 5 years underweight: | 28.8% (2015) |
| Education expenditures: | 2.9% of GDP (2013) |
| Literacy: | definition: age 15 and over can read and write French or Arabic |
| Literacy: | total population: 22.3% |
| Literacy: | male: 31.3% |
| Literacy: | female: 14% (2016 est.) |
| School life expectancy (primary to tertiary education): | total: 7 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 6 years (2011) |
