| People and Society | MAURITIUS |
| Infant mortality rate: | total: 9.8 deaths/1,000 live births |
| Infant mortality rate: | male: 11.6 deaths/1,000 live births |
| Infant mortality rate: | female: 7.9 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 75.8 years |
| Life expectancy at birth: | male: 72.4 years |
| Life expectancy at birth: | female: 79.5 years (2017 est.) |
| Total fertility rate: | 1.75 children born/woman (2017 est.) |
| Contraceptive prevalence rate: | 63.8% (2014) |
| Health expenditures: | 4.8% of GDP (2014) |
| Physicians density: | 1.93 physicians/1,000 population (2014) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.8% of population |
| Drinking water source: | total: 99.9% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.2% of population |
| unimproved: | total: 0.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.9% of population |
| Sanitation facility access: | rural: 92.6% of population |
| Sanitation facility access: | total: 93.1% of population |
| unimproved: | urban: 6.1% of population |
| unimproved: | rural: 7.4% of population |
| unimproved: | total: 6.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 10.8% (2016) |
| Education expenditures: | 5% of GDP (2015) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.7% |
| Literacy: | male: 94.9% |
| Literacy: | female: 90.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 15 years (2015) |
| Unemployment, youth ages 15-24: | total: 26.3% |
| Unemployment, youth ages 15-24: | male: 21.6% |
| Unemployment, youth ages 15-24: | female: 32.7% (2015 est.) |
