| People and Society | MAURITIUS |
| Median age: | total: 34.8 years |
| Median age: | male: 33.9 years |
| Median age: | female: 35.8 years (2016 est.) |
| Population growth rate: | 0.61% (2016 est.) |
| Birth rate: | 13.1 births/1,000 population (2016 est.) |
| Death rate: | 7 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 39.7% of total population (2015) |
| Urbanization: | rate of urbanization: -0.08% annual rate of change (2010-15 est.) |
| Major urban areas - population: | PORT LOUIS (capital) 135,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Maternal mortality rate: | 53 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 10 deaths/1,000 live births |
| Infant mortality rate: | male: 11.9 deaths/1,000 live births |
| Infant mortality rate: | female: 8.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 75.6 years |
| Life expectancy at birth: | male: 72.2 years |
| Life expectancy at birth: | female: 79.2 years (2016 est.) |
| Total fertility rate: | 1.75 children born/woman (2016 est.) |
| Health expenditures: | 4.8% of GDP (2014) |
| Physicians density: | 1.62 physicians/1,000 population (2013) |
| Hospital bed density: | 3.4 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.9% of population |
| Drinking water source: | rural: 99.8% of population |
| Drinking water source: | total: 99.9% of population |
| unimproved: | urban: 0.1% of population |
| unimproved: | rural: 0.2% of population |
| unimproved: | total: 0.1% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 93.9% of population |
| Sanitation facility access: | rural: 92.6% of population |
| Sanitation facility access: | total: 93.1% of population |
| unimproved: | urban: 6.1% of population |
| unimproved: | rural: 7.4% of population |
| unimproved: | total: 6.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | 0.88% (2015 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,200 (2015 est.) |
| HIV/AIDS - deaths: | 400 (2015 est.) |
| Obesity - adult prevalence rate: | 18.8% (2014) |
| Education expenditures: | 5% of GDP (2014) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 90.6% |
| Literacy: | male: 92.9% |
| Literacy: | female: 88.5% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 25.1% |
| Unemployment, youth ages 15-24: | male: 20.1% |
| Unemployment, youth ages 15-24: | female: 32.6% (2014 est.) |
