| People and Society | Uruguay |
| Children under the age of 5 years underweight: | 4% (2011) |
| Education expenditures: | 4.4% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write (2015 est.) |
| Literacy: | total population: 98.5% (2015 est.) |
| Literacy: | male: 98.1% (2015 est.) |
| Literacy: | female: 98.9% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years (2010) |
| School life expectancy (primary to tertiary education): | male: 14 years (2010) |
| School life expectancy (primary to tertiary education): | female: 17 years (2010) |
| Unemployment, youth ages 15-24: | total: 23.8% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 20.2% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 28.7% (2016 est.) |
